LABEL	SRATE	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN
Struthio_camelus	0.060527	318550.7015151208	6981210.999999999	1	6981210.999999999	1	9299554	3	6981210.999999999
Casuarius_casuarius	0.011284	597568.5437968724	2472970.9999999995	1	2472970.9999999995	1	9299553.999999998	6	2472970.9999999995
Dromaius_novaehollandiae	0.015706	597568.5437968724	2472970.9999999995	1	2472970.9999999995	1	9299553.999999998	6	2472970.9999999995
Casuariiformes	0.014771	597568.5437968724	4238745.999999999	2	6711716.999999998	2	6826582.999999999	5	9184687.999999998
Apteryx_haastii	0.00059	88363.9569	137603	1	137603	1	9299554	7	137603
Apteryx_owenii	0.000684	88363.9569	137603	1	137603	1	9299554	7	137603
N6	0.001967	88363.9569	278725.99999999994	2	416328.99999999994	2	9161951	6	553932
Apteryx_australis	0.001219	109355.10253340598	156641.99999999997	1	156641.99999999997	1	9299554	7	156641.99999999997
Apteryx_rowi	0.001088	109355.10253340598	156641.99999999997	1	156641.99999999997	1	9299554	7	156641.99999999997
N9	0.001171	109355.10253340598	259686.99999999997	2	416328.99999999994	2	9142912	6	572970.9999999999
Apterygiformes	0.019071	969741.9613663836	6295387.999999999	4	6711716.999999999	3	8883225	5	7422290.999999999
Accipitriformes	0.002415	465426.7678037207	119697.99999999997	8	6337380	7	3081871.9999999995	9	23384886
Rhea_americana	0.000573	504410.1821256707	2070581.9999999995	1	2070581.9999999995	1	9299554	6	2070581.9999999995
Rhea_pennata	0.000705	504410.1821256707	2070581.9999999995	1	2070581.9999999995	1	9299554	6	2070581.9999999995
Rheiformes	0.060529	504410.1821256707	4604111	2	6674693	2	7228972	5	8745275
Eudromia_elegans	0.079271	297695.4534994814	4379910.999999999	1	4379910.999999999	1	9299554	7	4379910.999999999
Nothoprocta_perdicaria	0.017559	372945.9368473685	1598346.9999999998	1	1598346.9999999998	1	9299554	8	1598346.9999999998
Nothoprocta_ornata	0.001384	209658.81074284227	215169.99999999997	1	215169.99999999997	1	9299554	9	215169.99999999997
Nothoprocta_pentlandii	0.001388	209658.81074284227	215169.99999999997	1	215169.99999999997	1	9299554	9	215169.99999999997
N19	0.005292	209658.81074284227	1383176.9999999998	2	1598346.9999999998	2	9084384	8	1813516.9999999998
N20	0.030972	372945.9368473685	2781563.9999999995	3	4379910.999999999	3	7701207	7	6193427.999999999
N21	0.005112	297695.4534994814	404891.99999999994	4	4784802.999999999	4	4919643	6	10978230.999999998
Nothocercus_julius	0.013167	399628.98667562933	1603753.9999999998	1	1603753.9999999998	1	9299554	8	1603753.9999999998
Nothocercus_nigrocapillus	0.013328	399628.98667562933	1603753.9999999998	1	1603753.9999999998	1	9299554	8	1603753.9999999998
N24	0.032591	399628.98667562933	2609551.9999999995	2	4213305.999999999	2	7695800	7	5817059.999999999
Tinamus_guttatus	0.04391	195727.48548638553	3445372.9999999995	1	3445372.9999999995	1	9299554	8	3445372.9999999995
Crypturellus_soui	0.020192	301955.9856484628	1805263.9999999998	1	1805263.9999999998	1	9299554	9	1805263.9999999998
Crypturellus_cinnamomeus	0.007183	242843.05563994692	699501.9999999999	1	699501.9999999999	1	9299554	10	699501.9999999999
Crypturellus_undulatus	0.006537	242843.05563994692	699501.9999999999	1	699501.9999999999	1	9299554	10	699501.9999999999
N29	0.005814	242843.05563994692	1105761.9999999998	2	1805263.9999999995	2	8600052	9	2504765.9999999995
N30	0.026849	301955.9856484628	1640108.9999999998	3	3445372.9999999995	3	7494290	8	5950138.999999999
N31	0.009311	195727.48548638553	767932.9999999999	4	4213305.999999999	4	5854181	7	10163444.999999998
Anseriformes	0.007002	546504.4918349469	1889812.9999999995	7	6818754	7	4370612.999999999	4	20557096.999999996
Caprimulgiformes1	0.001938	781761.1108453185	89683.99999999999	6	6159091	5	3230146.9999999995	10	30370534
Charadriiformes	0.01192	218484.78278614933	937502.9999999999	29	6449140	10	3787916.9999999995	9	81998754
Coraciiformes	0.010104	95455.61834481607	368559.99999999994	8	5988241	6	3679872.9999999995	13	36624539.99999999
Cuculiformes	0.036142	220830.16698994781	1501894.9999999998	7	6329113.999999999	5	4472334.999999999	8	25411882.999999996
Chauna_torquata	0.055019	546504.4918349469	4928940.999999999	1	4928940.999999999	1	9299553.999999998	5	4928940.999999999
Anseranas_semipalmata	0.043813	141489.22465023142	4464368	1	4464368	1	9299554	6	4464368
Anser_cygnoid	0.019163	238453.83915489554	2528719.9999999995	1	2528719.9999999995	1	9299553.999999998	7	2528719.9999999995
Cairina_moschata	0.011505	247811.05121491657	875887.9999999999	1	875887.9999999999	1	9299553.999999998	8	875887.9999999999
Asarcornis_scutulata	0.011329	176829.16258800038	736496.9999999999	1	736496.9999999999	1	9299553.999999998	9	736496.9999999999
Anas_platyrhynchos	0.001299	114841.26710658395	203928.99999999994	1	203928.99999999994	1	9299553.999999998	10	203928.99999999994
Anas_zonorhyncha	0.001304	114841.26710658395	203928.99999999994	1	203928.99999999994	1	9299553.999999998	10	203928.99999999994
N44	0.008233	114841.26710658395	532567.9999999999	2	736496.9999999998	2	9095624.999999998	9	940425.9999999998
N45	0.002006	176829.16258800038	139390.99999999997	3	875887.9999999999	3	8563056.999999998	8	1816313.9999999995
N46	0.023499	247811.05121491657	1652831.9999999998	4	2528719.9999999995	4	8423665.999999998	7	4345033.999999999
N47	0.050031	238453.83915489554	1935647.9999999998	5	4464367.999999999	5	6770833.999999999	6	8809401.999999998
Galliformes	0.026231	21896.370097576586	148229.99999999997	11	6818754	8	2629029.9999999995	4	38824308
Gruiformes	0.017529	172228.04722077193	783350.9999999999	7	6449139.999999999	5	3633764.9999999995	9	27776752.999999996
Alectura_lathami	0.09024	21896.370097576586	6670523.999999999	1	6670523.999999999	1	9299553.999999998	5	6670523.999999999
Penelope_pileata	0.085371	177875.3313333854	6021836.999999999	1	6021836.999999999	1	9299553.999999998	6	6021836.999999999
Numida_meleagris	0.047022	249993.5055764055	4071985.999999999	1	4071985.999999999	1	9299553.999999998	7	4071985.999999999
Odontophorus_gujanensis	0.026094	266914.3130803713	1689849.9999999995	1	1689849.9999999995	1	9299553.999999998	9	1689849.9999999995
Colinus_virginianus	0.011564	147236.8150401063	688394.9999999999	1	688394.9999999999	1	9299553.999999998	10	688394.9999999999
Callipepla_squamata	0.012946	147236.8150401063	688394.9999999999	1	688394.9999999999	1	9299553.999999998	10	688394.9999999999
N56	0.018749	147236.8150401063	1001454.9999999999	2	1689849.9999999998	2	8611158.999999998	9	2378244.9999999995
N57	0.046118	266914.3130803713	2125260	3	3815110	3	7609703.999999999	8	6193355
Gallus_gallus	0.038502	230080.20957787958	2692456.9999999995	1	2692456.9999999995	1	9299553.999999998	10	2692456.9999999995
Coturnix_japonica	0.065056	230080.20957787958	2692456.9999999995	1	2692456.9999999995	1	9299553.999999998	10	2692456.9999999995
N60	0.002991	230080.20957787958	183439.99999999997	2	2875896.9999999995	2	6607096.999999999	9	5568353.999999999
Phasianus_colchicus	0.027595	160061.7158	1842653.9999999998	1	1842653.9999999998	1	9299553.999999998	10	1842653.9999999998
Meleagris_gallopavo	0.026889	132844.3019342499	1636843.9999999998	1	1636843.9999999998	1	9299553.999999998	11	1636843.9999999998
Tympanuchus_cupido	0.036351	132844.3019342499	1636843.9999999998	1	1636843.9999999998	1	9299553.999999998	11	1636843.9999999998
N64	0.003151	132844.3019342499	205809.99999999997	2	1842653.9999999998	2	7662709.999999999	10	3479497.9999999995
N65	0.017003	160061.7158	1033242.9999999999	3	2875896.9999999995	3	7456899.999999999	9	6355394.999999999
N66	0.017515	152454.01540142365	939212.9999999999	5	3815109.9999999995	4	6423656.999999999	8	12862961.999999998
N11	0.000164	3014550.578284361	117518.99999999999	6	6829235.999999999	4	2587837	4	16724497.999999998
N117	0.001647	4954431.880636236	103523	10	6432636.999999999	6	2970439.9999999995	7	34746509.99999999
N118	0.001987	776224.6317303933	56656.99999999999	13	6489293.999999999	7	2866916.9999999995	6	45457971.99999999
N119	0.000794	5320439.565697992	156275.99999999997	22	6645570	8	2810259.9999999995	5	76102733.99999999
N146	0.00329	164242.8473316278	387857.99999999994	7	5511637	4	4175774.9999999995	10	24050212.999999996
Phoenicopterus_ruber	0.031742	447681.7341980061	5394174.999999999	1	5394174.999999999	1	9299553.999999998	5	5394174.999999999
Podiceps_cristatus	0.011657	596359.6538772448	1274608.9999999998	1	1274608.9999999998	1	9299553.999999998	6	1274608.9999999998
Podilymbus_podiceps	0.018568	596359.6538772448	1274608.9999999998	1	1274608.9999999998	1	9299553.999999998	6	1274608.9999999998
Phoenicopteriformes_g	0.037684	596359.6538772448	4119565.999999999	2	5394174.999999999	2	8024944.999999998	5	6668783.999999999
N76	0.013946	447681.7341980061	1343851	3	6738025.999999999	3	3905378.9999999995	4	13406809.999999998
Mesitornis_unicolor	0.093832	667626.5487938684	6216339.999999999	1	6216339.999999999	1	9299553.999999998	8	6216339.999999999
Pterocles_burchelli	0.021349	547787.5553316992	1581052.9999999998	1	1581052.9999999998	1	9299554	9	1581052.9999999998
Pterocles_gutturalis	0.018626	155054.37582750965	1411637.9999999998	1	1411637.9999999998	1	9299554	10	1411637.9999999998
Syrrhaptes_paradoxus	0.026737	155054.37582750965	1411637.9999999998	1	1411637.9999999998	1	9299554	10	1411637.9999999998
N81	0.002301	155054.37582750965	169414.99999999997	2	1581052.9999999998	2	7887916	9	2992690.9999999995
Pterocliformes	0.056338	547787.5553316992	4635287	3	6216340	3	7718501	8	9209031
N83	0.00581	667626.5487938684	246475.99999999997	4	6462816	4	3083213.9999999995	7	15671847
Alopecoenas_beccarii	0.033286	178355.7550971958	2263531.9999999995	1	2263531.9999999995	1	9299553.999999998	9	2263531.9999999995
Caloenas_nicobarica	0.025542	178355.7550971958	2263531.9999999995	1	2263531.9999999995	1	9299553.999999998	9	2263531.9999999995
N86	0.001682	178355.7550971958	108899.99999999999	2	2372431.9999999995	2	7036021.999999999	8	4635963.999999999
Columbina_picui	0.04384	558180.2094651072	2304001.9999999995	1	2304001.9999999995	1	9299553.999999998	9	2304001.9999999995
Columba_livia	0.023458	155038.36585040324	1387378.9999999998	1	1387378.9999999998	1	9299553.999999998	10	1387378.9999999998
Patagioenas_fasciata	0.024657	155038.36585040324	1387378.9999999998	1	1387378.9999999998	1	9299553.999999998	10	1387378.9999999998
N90	0.010112	155038.36585040324	916622.9999999999	2	2304001.9999999995	2	7912174.999999999	9	3691380.999999999
N91	0.001135	558180.2094651072	68429.99999999999	3	2372431.9999999995	3	6995551.999999999	8	6063812.999999998
Columbiformes	0.06246	563399.1293678577	4090383.9999999995	5	6462815.999999999	4	6927121.999999999	7	14790160.999999998
N161	0.014128	163988.6024400444	941549.9999999999	8	5069114	5	5171989.999999999	11	24381442.999999996
Tauraco_erythrolophus	0.038326	576625.3082	2535354.9999999995	1	2535354.9999999995	1	9299553.999999998	8	2535354.9999999995
Corythaeola_cristata	0.023568	183584.78665639434	1686812.9999999998	1	1686812.9999999998	1	9299553.999999998	9	1686812.9999999998
Corythaixoides_concolor	0.025596	183584.78665639434	1686812.9999999998	1	1686812.9999999998	1	9299553.999999998	9	1686812.9999999998
N97	0.010269	183584.78665639434	848541.9999999999	2	2535354.9999999995	2	7612740.999999998	8	4222167.999999999
Musophagiformes	0.037852	576625.3082	3897281.999999999	3	6432636.999999999	3	6764198.999999998	7	10654804.999999998
Lophotis_ruficrista	0.017079	621105.1550243767	1582209.9999999998	1	1582209.9999999998	1	9299553.999999998	9	1582209.9999999998
Ardeotis_kori	0.018493	221902.79407522688	1319780	1	1319780	1	9299553.999999998	10	1319780
Chlamydotis_macqueenii	0.022038	221902.79407522688	1319780	1	1319780	1	9299553.999999998	10	1319780
N102	0.004337	221902.79407522688	262429.99999999994	2	1582210	2	7979773.999999998	9	2901990
Otidiformes	0.054933	621105.1550243767	4746903.999999999	3	6329113.999999999	3	7717343.999999998	8	9231103.999999998
Geococcyx_californianus	0.069862	213046.8954969724	3860478.9999999995	1	3860478.9999999995	1	9299553.999999998	10	3860478.9999999995
Crotophaga_sulcirostris	0.054988	213046.8954969724	3860478.9999999995	1	3860478.9999999995	1	9299553.999999998	10	3860478.9999999995
N106	0.012804	213046.8954969724	966739.9999999999	2	4827218.999999999	2	5439074.999999999	9	8687697.999999998
Centropus_bengalensis	0.012955	417369.0408532084	970283.9999999999	1	970283.9999999999	1	9299553.999999998	11	970283.9999999999
Centropus_unirufus	0.005217	417369.0408532084	970283.9999999999	1	970283.9999999999	1	9299553.999999998	11	970283.9999999999
