pos	avg*ABBA	avg*BABA	avg*AABB	sliding_D*	QuartetCnt
0	0.06121871530112327	0.0803186	0.125852	-0.315873	19982000.0
100	-0.002272930117118467	0.0802676	0.125824	-0.315716	19978000.0
200	0.07633835381006925	0.080258	0.125813	-0.315606	19974000.0
300	0.16388408564080256	0.0802418	0.125787	-0.315521	19970000.0
400	-0.011818137472333597	0.080216	0.125728	-0.315429	19966000.0
500	-0.011814895694918056	0.0801584	0.125727	-0.315239	19962000.0
600	0.16952078155073916	0.0801487	0.125717	-0.31522	19958000.0
700	0.08833527291529088	0.0801718	0.125599	-0.31551	19954000.0
800	-0.03535483859349521	0.0801895	0.125605	-0.315552	19950000.0
900	0.06583180435859647	0.0802281	0.125632	-0.315735	19946000.0
1000	-0.03477586928124622	0.0801821	0.125622	-0.315665	19942000.0
1100	-0.03502547535702569	0.0801372	0.125589	-0.315683	19938000.0
1200	0.03571982715660341	0.0801474	0.125574	-0.315882	19934000.0
1300	-0.1798104244657798	0.0801627	0.125545	-0.316008	19930000.0
1400	-0.16096278325130328	0.0801691	0.125463	-0.31608	19926000.0
1500	-0.04470205292409727	0.0801463	0.125445	-0.316048	19922000.0
1600	-0.08975391203344238	0.0801712	0.125418	-0.31615	19918000.0
1700	0.042949133259527386	0.0802302	0.125312	-0.316519	19914000.0
1800	-0.0792743075521211	0.080284	0.125338	-0.316628	19910000.0
1900	-0.12971617013352915	0.0803405	0.1254	-0.3168	19906000.0
2000	0.15808407689215542	0.0803125	0.125413	-0.316663	19902000.0
2100	-0.011061730048653568	0.0802859	0.125406	-0.316609	19898000.0
2200	0.018266020468792384	0.0803084	0.125397	-0.316709	19894000.0
2300	-0.13095831862134566	0.0803237	0.125373	-0.316772	19890000.0
2400	-0.04290707245251827	0.0803302	0.125284	-0.316834	19886000.0
2500	0.02262405897098661	0.0803074	0.12526	-0.316794	19882000.0
2600	-0.10357755774223029	0.0803324	0.12522	-0.316991	19878000.0
2700	0.0490810018345672	0.0803915	0.125112	-0.317399	19874000.0
2800	-0.0485550689918805	0.0804333	0.125112	-0.317546	19870000.0
2900	-0.01768057497932768	0.0804778	0.125138	-0.31777	19866000.0
3000	-0.048689561222939694	0.0804373	0.12511	-0.31773	19862000.0
3100	0.1966940184508938	0.0803989	0.125072	-0.317754	19858000.0
3200	0.010102277526206608	0.0804098	0.125068	-0.317881	19854000.0
3300	-0.09432909289559005	0.0804122	0.12506	-0.317961	19850000.0
3400	0.09369949121031891	0.0804069	0.12501	-0.318	19846000.0
3500	-0.11065206499710223	0.080371	0.125017	-0.317953	19842000.0
3600	0.032323759500475543	0.0803835	0.125008	-0.317974	19838000.0
3700	-0.18452531238797756	0.0804296	0.124919	-0.318225	19834000.0
3800	-0.12136320488984306	0.0804846	0.124961	-0.318251	19830000.0
3900	0.031136623586912354	0.0805411	0.125026	-0.318364	19826000.0
4000	0.08530455799954104	0.0805123	0.124998	-0.31827	19822000.0
4100	0.02859552811899705	0.0804864	0.124952	-0.318251	19818000.0
4200	-0.00010462823882405325	0.08051	0.124915	-0.31837	19814000.0
4300	-0.018644569558928882	0.0805186	0.124855	-0.318452	19810000.0
4400	-0.13636819903674274	0.0805159	0.124784	-0.318437	19806000.0
4500	-0.06049732083947086	0.0804832	0.124776	-0.318327	19802000.0
4600	-0.03457517709597876	0.080499	0.124747	-0.318409	19798000.0
4700	0.11720202262189157	0.0805485	0.124625	-0.318737	19794000.0
4800	0.04586222895684614	0.0805943	0.124615	-0.318832	19790000.0
4900	-0.1648179155362734	0.0806421	0.124624	-0.319055	19786000.0
5000	0.0438924969394795	0.0806044	0.124616	-0.318961	19782000.0
5100	-0.027038728041631654	0.0805687	0.124606	-0.318953	19778000.0
5200	-0.05623650003059588	0.0805831	0.124609	-0.319078	19774000.0
5300	0.0726138288840868	0.0805954	0.124593	-0.319197	19770000.0
5400	0.1145494522495951	0.0805904	0.124531	-0.319254	19766000.0
5500	0.10456561191161987	0.080555	0.124515	-0.319237	19762000.0
5600	-0.07249445232226386	0.0805681	0.1245	-0.319364	19758000.0
5700	-0.01950543758512146	0.0806143	0.124411	-0.319711	19754000.0
5800	0.0445408431403564	0.0806574	0.124444	-0.319805	19750000.0
5900	0.10895461271223592	0.0807022	0.124496	-0.319957	19746000.0
6000	-0.036519323784529	0.0806613	0.124481	-0.319863	19742000.0
6100	-0.0071707976663817116	0.080622	0.124449	-0.319804	19738000.0
6200	-0.09924079740060282	0.0806356	0.124449	-0.319862	19734000.0
6300	-0.10822576240806708	0.080641	0.12443	-0.319893	19730000.0
6400	0.09266298223941981	0.0806511	0.124365	-0.319927	19726000.0
6500	0.1470349028570823	0.0806186	0.124375	-0.319808	19722000.0
6600	0.004212087841966616	0.080635	0.124372	-0.31985	19718000.0
6700	0.11177048978920243	0.0806875	0.124279	-0.320127	19714000.0
6800	0.047595202504763415	0.0807374	0.124311	-0.320149	19710000.0
6900	-0.05308537546051243	0.0807926	0.124381	-0.320249	19706000.0
7000	0.047573560550841394	0.0807613	0.124406	-0.320068	19702000.0
7100	0.16523765664659693	0.0807319	0.124417	-0.31996	19698000.0
7200	0.007840096089004845	0.0807485	0.124432	-0.320059	19694000.0
7300	0.16787416558140064	0.0807565	0.124428	-0.320169	19690000.0
7400	-0.25056371040897446	0.0807554	0.124394	-0.320209	19686000.0
7500	0.09358675043752239	0.0807353	0.124419	-0.320196	19682000.0
7600	0.020088206823817123	0.0807641	0.124433	-0.320346	19678000.0
7700	-0.018533535046586745	0.0808236	0.124364	-0.320734	19674000.0
7800	0.020536277653550233	0.0808798	0.124417	-0.320874	19670000.0
7900	-0.1874231914600893	0.0809347	0.124498	-0.321088	19666000.0
8000	-0.010645388783751195	0.0809037	0.124524	-0.321024	19662000.0
8100	0.04701455715117465	0.0808748	0.124537	-0.321027	19658000.0
8200	0.15908100447415163	0.0808934	0.124568	-0.321111	19654000.0
8300	-0.04053352182736474	0.0809041	0.124585	-0.321109	19650000.0
8400	-0.06954286028931878	0.0809112	0.124561	-0.321086	19646000.0
8500	-0.038868304358453655	0.0808878	0.124602	-0.320948	19642000.0
8600	0.10284921177020742	0.0809133	0.124629	-0.320977	19638000.0
8700	0.04418581096596845	0.0809856	0.124571	-0.321279	19634000.0
8800	-0.04165372037670388	0.0810544	0.124636	-0.321327	19630000.0
8900	0.06264074331133561	0.0811252	0.124692	-0.321517	19626000.0
9000	0.02102785493480404	0.0811101	0.124686	-0.32144	19622000.0
9100	0.10818459905328892	0.0811095	0.124654	-0.321487	19618000.0
9200	-0.05889070938773524	0.0811563	0.124629	-0.321704	19614000.0
9300	-0.021449714659776825	0.0811958	0.124589	-0.321875	19610000.0
9400	-0.027881215313215767	0.0812281	0.124512	-0.322009	19606000.0
9500	-0.13502109481321187	0.0812302	0.124495	-0.322037	19602000.0
9600	0.040944127706457605	0.0812814	0.124467	-0.322227	19598000.0
9700	0.037439327217988934	0.081354	0.124342	-0.322629	19594000.0
9800	0.011863145664246089	0.0814233	0.124344	-0.322734	19590000.0
9900	-0.012108813337514693	0.0814946	0.124409	-0.32287	19586000.0
10000	-0.13017457420504144	0.0814799	0.124412	-0.322743	19582000.0
10100	-0.030689432276535908	0.0814536	0.124418	-0.322576	19578000.0
10200	-0.022895451652676948	0.0814748	0.124426	-0.322625	19574000.0
10300	-0.0688433269221619	0.0814888	0.124407	-0.322645	19570000.0
10400	-0.004724671166600915	0.0814957	0.124351	-0.322631	19566000.0
10500	0.051816385681453844	0.0814724	0.124357	-0.322505	19562000.0
10600	0.20003739012105304	0.081498	0.12435	-0.322549	19558000.0
10700	0.028884781283183895	0.0815581	0.124267	-0.32281	19554000.0
10800	0.03719453907227644	0.081615	0.124301	-0.32286	19550000.0
10900	0.003987208423383279	0.0816739	0.124365	-0.322996	19546000.0
11000	-0.18043852152990417	0.0816466	0.124391	-0.322831	19542000.0
11100	0.008780612455078312	0.0816266	0.124403	-0.322791	19538000.0
11200	0.017449020994102643	0.0816543	0.124415	-0.322896	19534000.0
11300	0.2577525112485286	0.0816747	0.124427	-0.322927	19530000.0
11400	-0.007794996478112253	0.0816879	0.124363	-0.322986	19526000.0
11500	0.04159653423336125	0.0816709	0.124328	-0.32298	19522000.0
11600	0.007971723029475668	0.0817034	0.124242	-0.323202	19518000.0
11700	-0.10542320376195322	0.0817674	0.124073	-0.323643	19514000.0
11800	0.12573928145150207	0.0818285	0.12402	-0.323836	19510000.0
11900	0.08664250326867742	0.0818936	0.123976	-0.324152	19506000.0
12000	0.0905590947043047	0.0818662	0.123879	-0.324171	19502000.0
12100	-0.07948334547947389	0.0818207	0.123771	-0.324193	19498000.0
12200	0.15172893109360994	0.0818183	0.123706	-0.32432	19494000.0
12300	-0.12873340627922808	0.0818087	0.123611	-0.324418	19490000.0
12400	0.07015030938002703	0.0817911	0.123497	-0.324455	19486000.0
12500	0.23051086258099787	0.0817443	0.123491	-0.324314	19482000.0
12600	-0.08758723251306884	0.0817481	0.12352	-0.324275	19478000.0
12700	-0.04516777296027719	0.0817821	0.123445	-0.32452	19474000.0
12800	0.021427236508764123	0.0818171	0.123515	-0.324524	19470000.0
12900	-0.03890556541161992	0.0818411	0.123592	-0.324607	19466000.0
13000	-0.14362984310661328	0.0817862	0.123619	-0.324429	19462000.0
13100	0.018280097480602733	0.0817416	0.123633	-0.324346	19458000.0
13200	-0.09482587137261049	0.0817466	0.123674	-0.324419	19454000.0
13300	0.058754043063518155	0.0817569	0.123679	-0.324503	19450000.0
13400	-0.08054632342338033	0.0817596	0.123622	-0.324589	19446000.0
13500	0.16637804050175395	0.0817311	0.12364	-0.324543	19442000.0
13600	-0.06695302923362371	0.0817507	0.12365	-0.324664	19438000.0
13700	-0.020837251620567557	0.0818083	0.123558	-0.325002	19434000.0
13800	0.09273382173696698	0.0818648	0.123605	-0.325028	19430000.0
13900	-0.11171743164339552	0.0819272	0.123671	-0.325202	19426000.0
14000	0.034116093460412944	0.0819035	0.123687	-0.325097	19422000.0
14100	0.14207777542824282	0.0818823	0.123678	-0.325086	19418000.0
14200	-0.14939762345612279	0.0819052	0.123696	-0.325208	19414000.0
14300	0.029814985853230423	0.0819203	0.123679	-0.325276	19410000.0
14400	0.037352679424842355	0.0819287	0.123613	-0.325322	19406000.0
14500	0.08954758717773104	0.0819065	0.123618	-0.32524	19402000.0
14600	-0.11232987108780819	0.0819324	0.123613	-0.325328	19398000.0
14700	-0.12067766130842762	0.0819932	0.123513	-0.325651	19394000.0
14800	0.06357565656168977	0.0820531	0.123552	-0.325696	19390000.0
14900	0.04107946732331861	0.0821061	0.123599	-0.325793	19386000.0
15000	0.03644378503458766	0.0820726	0.123595	-0.325612	19382000.0
15100	0.04604532094969757	0.0820386	0.123598	-0.325465	19378000.0
15200	-0.05660147215784909	0.0820489	0.12363	-0.325446	19374000.0
15300	0.03462686971610036	0.0820577	0.123651	-0.325439	19370000.0
15400	0.04072144732986813	0.082057	0.123619	-0.325407	19366000.0
15500	-0.06002034180263678	0.0820252	0.123667	-0.325234	19362000.0
15600	0.19799235111447566	0.082042	0.123715	-0.325214	19358000.0
15700	0.05880089209117875	0.0820939	0.123653	-0.32545	19354000.0
15800	-0.10769924972026487	0.0821451	0.123731	-0.32541	19350000.0
15900	0.07707916086338297	0.0822012	0.123826	-0.325486	19346000.0
16000	-0.08603716702273215	0.0821713	0.123874	-0.325279	19342000.0
16100	0.09013916037424521	0.0821412	0.123903	-0.325144	19338000.0
16200	0.1272840579007404	0.0821547	0.123959	-0.325139	19334000.0
16300	-0.07064313183517104	0.0821425	0.123985	-0.325058	19330000.0
16400	0.10777541292443218	0.0821204	0.123958	-0.324953	19326000.0
16500	0.052716492693649836	0.0820747	0.124005	-0.324738	19322000.0
16600	0.093651215999449	0.0820767	0.12404	-0.32465	19318000.0
16700	0.20113369826539476	0.0821048	0.123973	-0.324781	19314000.0
16800	-0.01306451160028705	0.0821353	0.124032	-0.324667	19310000.0
16900	-0.06390001643574897	0.0821728	0.124103	-0.324682	19306000.0
17000	-0.07746374296255233	0.0821154	0.124125	-0.324385	19302000.0
17100	-0.07008722849654384	0.0820582	0.124135	-0.324155	19298000.0
17200	0.003784329058589579	0.0820478	0.12416	-0.324081	19294000.0
17300	0.04561679748166439	0.0820641	0.124157	-0.324094	19290000.0
17400	0.03918987993300191	0.0820742	0.124086	-0.324114	19286000.0
17500	0.09424582490360238	0.0820509	0.12409	-0.323995	19282000.0
17600	0.012827889187790702	0.082072	0.124087	-0.324064	19278000.0
17700	0.1568909077157317	0.0821379	0.123985	-0.32436	19274000.0
17800	-0.014908583323795608	0.0821999	0.12403	-0.324367	19270000.0
17900	0.2835728166589619	0.082263	0.124074	-0.324504	19266000.0
18000	0.07413633477650063	0.0822318	0.124063	-0.32434	19262000.0
18100	-0.07414045564162826	0.0822021	0.124043	-0.324243	19258000.0
18200	-0.09551324980611123	0.0822194	0.124061	-0.324266	19254000.0
18300	0.05983044152431853	0.0822386	0.124041	-0.324312	19250000.0
18400	-0.010744278532585092	0.0822454	0.123978	-0.324311	19246000.0
18500	0.0830091494092092	0.0822248	0.123982	-0.324198	19242000.0
18600	0.058939462457354486	0.082249	0.123986	-0.324228	19238000.0
18700	0.004336308734312722	0.0823117	0.123893	-0.32454	19234000.0
18800	-0.0730411718068405	0.0823707	0.123933	-0.324547	19230000.0
18900	-0.13984732246858647	0.082434	0.123998	-0.324652	19226000.0
19000	-0.03300119520670211	0.0824028	0.124023	-0.32444	19222000.0
