file	pos	c*ABBA	c*BABA	c*AABB	D*	QuartetCnt
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	0	106824	111992	138149	-0.0144771	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	1000	108941	118240	138787	-0.025408	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	2000	109000	116697	133523	-0.0214264	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	3000	109003	119174	130936	-0.0283203	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	4000	111239	114729	133868	-0.00969959	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	5000	111980	118955	136196	-0.019001	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	6000	113057	117221	134819	-0.0114067	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	7000	111005	121922	130443	-0.0300445	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	8000	114383	120840	122802	-0.0180338	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	9000	113308	115372	123794	-0.00585767	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	10000	113379	117123	122920	-0.0105919	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	11000	117312	114485	122962	0.00796961	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	12000	119292	112988	123293	0.0177296	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	13000	117701	102959	127500	0.0423426	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	14000	119565	98763.5	127724	0.0601106	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	15000	119189	96733.8	127525	0.0653809	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	16000	122140	79911.3	124886	0.129164	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	17000	119720	77949.1	123327	0.13013	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	18000	119715	70326.2	121721	0.158417	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	19000	123624	69965.3	121706	0.170186	11980800000
/drive2/iang/msa/concat_default-500Kb-1-neoaves_anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1_na.fa	20000	123145	72680.2	124446	0.157569	11980800000
