pos	avg*ABBA	avg*BABA	avg*AABB	sliding_D*	QuartetCnt
0	0.000369131	0.0121432	0.00172427	-0.827028	400000
50	0.000369315	0.0121493	0.00172513	-0.827028	399800
100	0.0003695	0.0121553	0.001726	-0.827028	399600
150	0.000369685	0.0121614	0.00171543	-0.827692	399400
200	0.00036987	0.0121838	0.00171629	-0.827889	399200
250	0.000370056	0.0121899	0.00171715	-0.827889	399000
300	0.000370241	0.0121961	0.00171801	-0.827889	398800
350	0.000370427	0.0122022	0.00171887	-0.827889	398600
400	0.000370613	0.0122166	0.00166457	-0.831193	398400
450	0.000370799	0.0122227	0.00166541	-0.831193	398200
500	0.000370986	0.0122289	0.00166624	-0.831193	398000
550	0.000371172	0.012235	0.00165244	-0.832046	397800
600	0.000371359	0.0122412	0.00164282	-0.832656	397600
650	0.000371546	0.0122473	0.00164365	-0.832656	397400
700	0.000371733	0.0122535	0.00164448	-0.832656	397200
750	0.00037192	0.0122597	0.00164531	-0.832656	397000
800	0.000387821	0.0122425	0.00164614	-0.830365	396800
850	0.000388016	0.0122486	0.00167813	-0.828557	396600
900	0.000388212	0.0122548	0.00167898	-0.828557	396400
950	0.000388408	0.012261	0.00167983	-0.828557	396200
1000	0.000388604	0.0122672	0.00168068	-0.828557	396000
1050	0.000388801	0.0122734	0.00168153	-0.828557	395800
1100	0.000388997	0.0122796	0.00168238	-0.828557	395600
1150	0.000389194	0.0122858	0.00168323	-0.828557	395400
1200	0.000389391	0.012292	0.00168408	-0.828557	395200
1250	0.000389588	0.012291	0.00167036	-0.829311	395000
1300	0.000389785	0.0122972	0.00167121	-0.829311	394800
1350	0.000389983	0.0123034	0.00164194	-0.831054	394600
1400	0.000404865	0.0123097	0.00162812	-0.830028	394400
1450	0.00040507	0.0123159	0.00162895	-0.830028	394200
1500	0.000405276	0.0123222	0.00162977	-0.830028	394000
1550	0.000405482	0.0123284	0.0016306	-0.830028	393800
1600	0.000405688	0.0123347	0.00159995	-0.83185	393600
1650	0.000405894	0.012341	0.00160076	-0.83185	393400
1700	0.000406101	0.0123472	0.00160157	-0.83185	393200
1750	0.000406307	0.0123535	0.00160239	-0.83185	393000
1800	0.000406514	0.0123598	0.00160321	-0.83185	392800
1850	0.000406721	0.0123661	0.00160402	-0.83185	392600
1900	0.000406929	0.0123724	0.00160484	-0.83185	392400
1950	0.000381161	0.0123787	0.00160566	-0.835162	392200
2000	0.000381356	0.012385	0.00162122	-0.834307	392000
2050	0.00038155	0.0123914	0.00162204	-0.834307	391800
2100	0.000381745	0.0123977	0.00162287	-0.834307	391600
2150	0.00038194	0.012404	0.0016237	-0.834307	391400
2200	0.000382135	0.0124104	0.00162453	-0.834307	391200
2250	0.000382331	0.0124167	0.00162536	-0.834307	391000
2300	0.000382527	0.0124231	0.0016262	-0.834307	390800
2350	0.000382722	0.0124294	0.00162703	-0.834307	390600
2400	0.000382918	0.0124358	0.00162786	-0.834307	390400
2450	0.000383115	0.0124422	0.0016287	-0.834307	390200
2500	0.000383311	0.0124485	0.00162953	-0.834307	390000
2550	0.000383508	0.0124549	0.00163037	-0.834307	389800
2600	0.000383705	0.0124613	0.0016312	-0.834307	389600
2650	0.000383902	0.0124517	0.00163204	-0.834123	389400
2700	0.000384099	0.0124581	0.00163288	-0.834123	389200
2750	0.000384297	0.0124645	0.00163372	-0.834123	389000
2800	0.000384494	0.0124709	0.00160361	-0.835908	388800
2850	0.000384692	0.0124773	0.00157765	-0.837459	388600
2900	0.00038489	0.0124837	0.001553	-0.838938	388400
2950	0.000385089	0.0124902	0.00155399	-0.838927	388200
3000	0.000385287	0.0124966	0.00155479	-0.838927	388000
3050	0.000385486	0.012503	0.00155559	-0.838927	387800
3100	0.000385685	0.0125095	0.00155639	-0.838927	387600
3150	0.000385884	0.0125159	0.0015572	-0.838927	387400
3200	0.000386083	0.0125224	0.001558	-0.838927	387200
3250	0.000386283	0.0125289	0.00155881	-0.838927	387000
3300	0.000386482	0.0125354	0.00157577	-0.837992	386800
3350	0.000386682	0.0125418	0.00157658	-0.837992	386600
3400	0.000386882	0.0125483	0.0015774	-0.837992	386400
3450	0.000387083	0.0125548	0.00157821	-0.837992	386200
3500	0.000387283	0.0125613	0.00157903	-0.837992	386000
3550	0.000387484	0.0125679	0.00157985	-0.837992	385800
3600	0.000387685	0.0125744	0.00158067	-0.837992	385600
3650	0.000387886	0.0125809	0.00155644	-0.839437	385400
3700	0.000388088	0.0125874	0.00153068	-0.840974	385200
3750	0.000388289	0.0125632	0.00153148	-0.840637	385000
3800	0.000388491	0.0125697	0.00154831	-0.839707	384800
3850	0.000388693	0.0125763	0.00154912	-0.839707	384600
3900	0.000388895	0.0125828	0.00154993	-0.839707	384400
3950	0.000389098	0.0125894	0.00155073	-0.839707	384200
4000	0.0003893	0.0125959	0.00155154	-0.839707	384000
4050	0.000389503	0.0126025	0.00155235	-0.839707	383800
4100	0.000389706	0.0126091	0.00155316	-0.839707	383600
4150	0.00038991	0.0126156	0.00151483	-0.841971	383400
4200	0.000390113	0.0126222	0.00151562	-0.841971	383200
4250	0.000390317	0.0126288	0.00151641	-0.841971	383000
4300	0.000390521	0.0126354	0.0015172	-0.841971	382800
4350	0.000390725	0.012642	0.001518	-0.841971	382600
4400	0.000390929	0.0126486	0.00151879	-0.841971	382400
4450	0.000391134	0.0126553	0.00151958	-0.841971	382200
4500	0.000391339	0.0126619	0.00152038	-0.841971	382000
4550	0.000391544	0.0126685	0.00152118	-0.841971	381800
4600	0.000391749	0.0126752	0.00149371	-0.843605	381600
4650	0.000391954	0.0126818	0.00146456	-0.845342	381400
4700	0.00039216	0.0126885	0.00146533	-0.845342	381200
4750	0.000392366	0.0126951	0.00146609	-0.845342	381000
4800	0.000392572	0.0127018	0.00143863	-0.846984	380800
4850	0.000392778	0.0127085	0.00141111	-0.848635	380600
4900	0.000392985	0.0127151	0.00141185	-0.848635	380400
4950	0.000393191	0.0127218	0.0014126	-0.848635	380200
5000	0.000393398	0.0127285	0.00141334	-0.848635	380000
5050	0.000393605	0.0127352	0.00138499	-0.850336	379800
5100	0.000393813	0.0127419	0.00135508	-0.852134	379600
5150	0.00039402	0.0127487	0.0013558	-0.852134	379400
5200	0.000394228	0.0127554	0.00135651	-0.852134	379200
5250	0.000394436	0.0127621	0.00135723	-0.852134	379000
5300	0.000394645	0.0127688	0.00135794	-0.852134	378800
5350	0.000394853	0.0127756	0.00135866	-0.852134	378600
5400	0.000407877	0.0127823	0.00135938	-0.850502	378400
5450	0.000408092	0.0127891	0.00131254	-0.85329	378200
5500	0.000408308	0.0127959	0.00131324	-0.85329	378000
5550	0.000408524	0.0128026	0.00131393	-0.85329	377800
5600	0.000408741	0.0128094	0.00131463	-0.85329	377600
5650	0.000408957	0.0128162	0.0013316	-0.852336	377400
5700	0.000409174	0.012823	0.00134588	-0.851542	377200
5750	0.000409391	0.0128298	0.0013466	-0.851542	377000
5800	0.000409609	0.0128366	0.00134731	-0.851542	376800
5850	0.000409826	0.0128434	0.00134803	-0.851542	376600
5900	0.000403458	0.0128503	0.00132899	-0.853532	376400
5950	0.000403673	0.0128571	0.00132969	-0.853532	376200
6000	0.000403887	0.0128683	0.0013304	-0.853576	376000
