file	pos	c*ABBA	c*BABA	c*AABB	D*	QuartetCnt
C:\Users\isaac\phlag\caster\data\ape.fa	0	0.848737	0.0396414	0.669168	0.896366	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1000	0.920919	0.0325036	0.652711	0.921559	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2000	0.869429	0.027551	0.641897	0.925008	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3000	0.889836	0.0266247	0.638588	0.930181	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4000	0.868554	0.0232618	0.61385	0.936303	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5000	0.857731	0.0240956	0.600384	0.93397	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6000	0.817209	0.0183391	0.606089	0.940214	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7000	0.817209	0.0116484	0.5879	0.957931	200000
C:\Users\isaac\phlag\caster\data\ape.fa	8000	0.807589	0.0109551	0.591961	0.957593	200000
C:\Users\isaac\phlag\caster\data\ape.fa	9000	0.766309	0.00926223	0.603332	0.953798	200000
C:\Users\isaac\phlag\caster\data\ape.fa	10000	0.766309	0.0151909	0.596325	0.940457	200000
C:\Users\isaac\phlag\caster\data\ape.fa	11000	0.848039	0.0151909	0.602038	0.952659	200000
C:\Users\isaac\phlag\caster\data\ape.fa	12000	0.827639	0.0168976	0.623704	0.943377	200000
C:\Users\isaac\phlag\caster\data\ape.fa	13000	0.868459	0.012962	0.573188	0.964688	200000
C:\Users\isaac\phlag\caster\data\ape.fa	14000	0.847789	0.00901	0.575833	0.97084	200000
C:\Users\isaac\phlag\caster\data\ape.fa	15000	0.827044	0.00988074	0.57526	0.965459	200000
C:\Users\isaac\phlag\caster\data\ape.fa	16000	0.868543	0.011446	0.58427	0.966926	200000
C:\Users\isaac\phlag\caster\data\ape.fa	17000	0.868543	0.0106447	0.592849	0.967717	200000
C:\Users\isaac\phlag\caster\data\ape.fa	18000	0.900009	0.000862276	0.600272	0.995361	200000
C:\Users\isaac\phlag\caster\data\ape.fa	19000	0.899361	0	0.585775	1	200000
C:\Users\isaac\phlag\caster\data\ape.fa	20000	0.877314	0.000811652	0.588671	0.994055	200000
C:\Users\isaac\phlag\caster\data\ape.fa	21000	0.959847	0.00587667	0.598031	0.99224	200000
C:\Users\isaac\phlag\caster\data\ape.fa	22000	0.959847	0.00425335	0.610462	0.994139	200000
C:\Users\isaac\phlag\caster\data\ape.fa	23000	1	0.00753898	0.586353	0.99602	200000
