file	pos	c*ABBA	c*BABA	c*AABB	D*	QuartetCnt
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	0	119395	125815	155360	-0.0160276	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	1000	121793	132812	156383	-0.0268106	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	2000	121247	131833	151316	-0.0261771	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	3000	121429	134656	148825	-0.0326661	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	4000	124062	129676	151934	-0.0138385	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	5000	124530	134346	154012	-0.0237734	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	6000	125844	131938	152870	-0.0148396	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	7000	123670	136499	147842	-0.031443	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	8000	127027	134634	140369	-0.0189218	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	9000	125351	129031	141018	-0.00930725	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	10000	125190	130756	140307	-0.0140464	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	11000	129559	127285	140140	0.00572763	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	12000	131135	125304	141049	0.0146679	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	13000	129543	114025	145774	0.0398573	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	14000	130711	109182	146483	0.0557201	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	15000	130777	106704	146412	0.0627066	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	16000	134636	88527	143540	0.12574	13520000000
C:\Users\isaac\phlag\caster\data\simulations\default-500Kb-1.fa	17000	131772	86427.2	141880	0.12593	13520000000
