pos	avg*ABBA	avg*BABA	avg*AABB	sliding_D*	QuartetCnt
0	0.000369131	0.0121432	0.00172427	1	400000
50	0.000369315	0.0121493	0.00172513	1	399800
100	0.0003695	0.0121553	0.001726	1	399600
150	0.000369685	0.0121614	0.00171543	0.996909	399400
200	0.00036987	0.0121838	0.00171629	0.995992	399200
250	0.000370056	0.0121899	0.00171715	0.995992	399000
300	0.000370241	0.0121961	0.00171801	0.995992	398800
350	0.000370427	0.0122022	0.00171887	0.995992	398600
400	0.000370613	0.0122166	0.00166457	0.980601	398400
450	0.000370799	0.0122227	0.00166541	0.980601	398200
500	0.000370986	0.0122289	0.00166624	0.980601	398000
550	0.000371172	0.012235	0.00165244	0.976628	397800
600	0.000371359	0.0122412	0.00164282	0.973786	397600
650	0.000371546	0.0122473	0.00164365	0.973786	397400
700	0.000371733	0.0122535	0.00164448	0.973786	397200
750	0.00037192	0.0122597	0.00164531	0.973786	397000
800	0.000387821	0.0122425	0.00164614	0.984457	396800
850	0.000388016	0.0122486	0.00167813	0.992878	396600
900	0.000388212	0.0122548	0.00167898	0.992878	396400
950	0.000388408	0.012261	0.00167983	0.992878	396200
1000	0.000388604	0.0122672	0.00168068	0.992878	396000
1050	0.000388801	0.0122734	0.00168153	0.992878	395800
1100	0.000388997	0.0122796	0.00168238	0.992878	395600
1150	0.000389194	0.0122858	0.00168323	0.992878	395400
1200	0.000389391	0.012292	0.00168408	0.992878	395200
1250	0.000389588	0.012291	0.00167036	0.989366	395000
1300	0.000389785	0.0122972	0.00167121	0.989366	394800
1350	0.000389983	0.0123034	0.00164194	0.981251	394600
1400	0.000404865	0.0123097	0.00162812	0.986029	394400
1450	0.00040507	0.0123159	0.00162895	0.986029	394200
1500	0.000405276	0.0123222	0.00162977	0.986029	394000
1550	0.000405482	0.0123284	0.0016306	0.986029	393800
1600	0.000405688	0.0123347	0.00159995	0.977541	393600
1650	0.000405894	0.012341	0.00160076	0.977541	393400
1700	0.000406101	0.0123472	0.00160157	0.977541	393200
1750	0.000406307	0.0123535	0.00160239	0.977541	393000
1800	0.000406514	0.0123598	0.00160321	0.977541	392800
1850	0.000406721	0.0123661	0.00160402	0.977541	392600
1900	0.000406929	0.0123724	0.00160484	0.977541	392400
1950	0.000381161	0.0123787	0.00160566	0.962115	392200
2000	0.000381356	0.012385	0.00162122	0.9661	392000
2050	0.00038155	0.0123914	0.00162204	0.9661	391800
2100	0.000381745	0.0123977	0.00162287	0.9661	391600
2150	0.00038194	0.012404	0.0016237	0.9661	391400
2200	0.000382135	0.0124104	0.00162453	0.9661	391200
2250	0.000382331	0.0124167	0.00162536	0.9661	391000
2300	0.000382527	0.0124231	0.0016262	0.9661	390800
2350	0.000382722	0.0124294	0.00162703	0.9661	390600
2400	0.000382918	0.0124358	0.00162786	0.9661	390400
2450	0.000383115	0.0124422	0.0016287	0.9661	390200
2500	0.000383311	0.0124485	0.00162953	0.9661	390000
2550	0.000383508	0.0124549	0.00163037	0.9661	389800
2600	0.000383705	0.0124613	0.0016312	0.9661	389600
2650	0.000383902	0.0124517	0.00163204	0.966956	389400
2700	0.000384099	0.0124581	0.00163288	0.966956	389200
2750	0.000384297	0.0124645	0.00163372	0.966956	389000
2800	0.000384494	0.0124709	0.00160361	0.958641	388800
2850	0.000384692	0.0124773	0.00157765	0.951418	388600
2900	0.00038489	0.0124837	0.001553	0.944532	388400
2950	0.000385089	0.0124902	0.00155399	0.944583	388200
3000	0.000385287	0.0124966	0.00155479	0.944583	388000
3050	0.000385486	0.012503	0.00155559	0.944583	387800
3100	0.000385685	0.0125095	0.00155639	0.944583	387600
3150	0.000385884	0.0125159	0.0015572	0.944583	387400
3200	0.000386083	0.0125224	0.001558	0.944583	387200
3250	0.000386283	0.0125289	0.00155881	0.944583	387000
3300	0.000386482	0.0125354	0.00157577	0.948936	386800
3350	0.000386682	0.0125418	0.00157658	0.948936	386600
3400	0.000386882	0.0125483	0.0015774	0.948936	386400
3450	0.000387083	0.0125548	0.00157821	0.948936	386200
3500	0.000387283	0.0125613	0.00157903	0.948936	386000
3550	0.000387484	0.0125679	0.00157985	0.948936	385800
3600	0.000387685	0.0125744	0.00158067	0.948936	385600
3650	0.000387886	0.0125809	0.00155644	0.942206	385400
3700	0.000388088	0.0125874	0.00153068	0.935046	385200
3750	0.000388289	0.0125632	0.00153148	0.936618	385000
3800	0.000388491	0.0125697	0.00154831	0.940948	384800
3850	0.000388693	0.0125763	0.00154912	0.940948	384600
3900	0.000388895	0.0125828	0.00154993	0.940948	384400
3950	0.000389098	0.0125894	0.00155073	0.940948	384200
4000	0.0003893	0.0125959	0.00155154	0.940948	384000
4050	0.000389503	0.0126025	0.00155235	0.940948	383800
4100	0.000389706	0.0126091	0.00155316	0.940948	383600
4150	0.00038991	0.0126156	0.00151483	0.930406	383400
4200	0.000390113	0.0126222	0.00151562	0.930406	383200
4250	0.000390317	0.0126288	0.00151641	0.930406	383000
4300	0.000390521	0.0126354	0.0015172	0.930406	382800
4350	0.000390725	0.012642	0.001518	0.930406	382600
4400	0.000390929	0.0126486	0.00151879	0.930406	382400
4450	0.000391134	0.0126553	0.00151958	0.930406	382200
4500	0.000391339	0.0126619	0.00152038	0.930406	382000
4550	0.000391544	0.0126685	0.00152118	0.930406	381800
4600	0.000391749	0.0126752	0.00149371	0.922794	381600
4650	0.000391954	0.0126818	0.00146456	0.914703	381400
4700	0.00039216	0.0126885	0.00146533	0.914703	381200
4750	0.000392366	0.0126951	0.00146609	0.914703	381000
4800	0.000392572	0.0127018	0.00143863	0.907054	380800
4850	0.000392778	0.0127085	0.00141111	0.899368	380600
4900	0.000392985	0.0127151	0.00141185	0.899368	380400
4950	0.000393191	0.0127218	0.0014126	0.899368	380200
5000	0.000393398	0.0127285	0.00141334	0.899368	380000
5050	0.000393605	0.0127352	0.00138499	0.891446	379800
5100	0.000393813	0.0127419	0.00135508	0.883071	379600
5150	0.00039402	0.0127487	0.0013558	0.883071	379400
5200	0.000394228	0.0127554	0.00135651	0.883071	379200
5250	0.000394436	0.0127621	0.00135723	0.883071	379000
5300	0.000394645	0.0127688	0.00135794	0.883071	378800
5350	0.000394853	0.0127756	0.00135866	0.883071	378600
5400	0.000407877	0.0127823	0.00135938	0.890669	378400
5450	0.000408092	0.0127891	0.00131254	0.877687	378200
5500	0.000408308	0.0127959	0.00131324	0.877687	378000
5550	0.000408524	0.0128026	0.00131393	0.877687	377800
5600	0.000408741	0.0128094	0.00131463	0.877687	377600
5650	0.000408957	0.0128162	0.0013316	0.882129	377400
5700	0.000409174	0.012823	0.00134588	0.885827	377200
5750	0.000409391	0.0128298	0.0013466	0.885827	377000
5800	0.000409609	0.0128366	0.00134731	0.885827	376800
5850	0.000409826	0.0128434	0.00134803	0.885827	376600
5900	0.000403458	0.0128503	0.00132899	0.876559	376400
5950	0.000403673	0.0128571	0.00132969	0.876559	376200
6000	0.000403887	0.0128683	0.0013304	0.876355	376000
6050	0.000404102	0.0128751	0.00133111	0.876355	375800
6100	0.000404318	0.012882	0.00133182	0.876355	375600
6150	0.000404533	0.0128889	0.00133253	0.876355	375400
6200	0.000404749	0.0128957	0.00133324	0.876355	375200
6250	0.000404964	0.0129026	0.00133395	0.876355	375000
6300	0.000405181	0.0129177	0.00125543	0.854366	374800
6350	0.000405397	0.0129246	0.0012561	0.854366	374600
6400	0.000392229	0.0129315	0.00125677	0.846421	374400
6450	0.000392438	0.0129384	0.00125744	0.846421	374200
6500	0.000392648	0.0129453	0.00123031	0.838777	374000
6550	0.000392858	0.0129523	0.00121535	0.834471	373800
6600	0.000393069	0.0129592	0.001216	0.834471	373600
6650	0.000393279	0.0129661	0.00121665	0.834471	373400
6700	0.00039349	0.0129731	0.0012173	0.834471	373200
6750	0.000393701	0.01298	0.00120265	0.830253	373000
6800	0.000393912	0.012987	0.0012033	0.830253	372800
6850	0.000394124	0.012994	0.00120394	0.830253	372600
6900	0.000394335	0.0130009	0.00120459	0.830253	372400
6950	0.000394547	0.0130079	0.00117386	0.821597	372200
7000	0.000394759	0.0130149	0.00114178	0.812535	372000
7050	0.000394972	0.0130219	0.00114239	0.812535	371800
7100	0.000395184	0.0130289	0.00114301	0.812535	371600
7150	0.000395397	0.013036	0.00114362	0.812535	371400
7200	0.00039561	0.013043	0.00114424	0.812535	371200
7250	0.000395823	0.01305	0.00111286	0.803658	371000
7300	0.000396037	0.013057	0.00111346	0.803658	370800
7350	0.00039625	0.0130641	0.00111406	0.803658	370600
7400	0.000396464	0.0130711	0.00111466	0.803658	370400
7450	0.000396679	0.0130782	0.00111526	0.803658	370200
7500	0.000396893	0.0130853	0.00111586	0.803658	370000
7550	0.000397108	0.0130924	0.00111647	0.803658	369800
7600	0.000413646	0.0130994	0.00111707	0.813371	369600
7650	0.00041387	0.0131065	0.0011021	0.809068	369400
7700	0.000414095	0.0131136	0.00110269	0.809068	369200
7750	0.000429655	0.0131207	0.00110329	0.818174	369000
7800	0.000429888	0.0131279	0.00110389	0.818174	368800
7850	0.000430121	0.013135	0.00108748	0.813491	368600
7900	0.000430355	0.0131421	0.00108807	0.813491	368400
7950	0.000430589	0.0131492	0.00108866	0.813491	368200
8000	0.000430823	0.0131564	0.00110362	0.817441	368000
8050	0.000431057	0.0131635	0.00107279	0.808796	367800
8100	0.000431292	0.0131707	0.00107338	0.808796	367600
8150	0.000431526	0.0131779	0.00107396	0.808796	367400
8200	0.000431761	0.0131851	0.00107455	0.808796	367200
8250	0.000431997	0.0131922	0.00105963	0.804527	367000
8300	0.000432232	0.0131833	0.0010602	0.805199	366800
8350	0.000432468	0.0131693	0.00106078	0.806082	366600
8400	0.000416867	0.0131764	0.00106136	0.796677	366400
8450	0.000401894	0.0131836	0.00106194	0.787635	366200
8500	0.000402114	0.0131908	0.00106252	0.787635	366000
8550	0.000402334	0.0131981	0.0010631	0.787635	365800
8600	0.000402554	0.0132053	0.00106368	0.787635	365600
8650	0.000386409	0.0132125	0.00106427	0.777901	365400
8700	0.00038662	0.0132197	0.00106485	0.777901	365200
8750	0.000386832	0.013227	0.00106543	0.777901	365000
8800	0.000387044	0.0132342	0.00106602	0.777901	364800
8850	0.000387256	0.0132415	0.0010666	0.777901	364600
8900	0.000387469	0.0132488	0.00106719	0.777901	364400
8950	0.000387682	0.0132622	0.00104713	0.771932	364200
9000	0.000387895	0.0132695	0.00101918	0.764003	364000
9050	0.000388108	0.0132768	0.00101974	0.764003	363800
9100	0.000388321	0.0132841	0.0010203	0.764003	363600
9150	0.000388535	0.0132914	0.00102086	0.764003	363400
9200	0.000388749	0.0132988	0.00103844	0.768726	363200
9250	0.000388963	0.0133061	0.00103901	0.768726	363000
9300	0.000389178	0.0133134	0.00103958	0.768726	362800
9350	0.000389392	0.0133208	0.00104016	0.768726	362600
9400	0.000389607	0.0133196	0.00100685	0.759657	362400
