file	pos	c*ABBA	c*BABA	c*AABB	D*	QuartetCnt
C:\Users\isaac\phlag\caster\data\ape.fa	0	1.18988	0.884101	6.9065	0.0340496	200000
C:\Users\isaac\phlag\caster\data\ape.fa	10000	1.06808	0.425471	6.18974	0.0836375	200000
C:\Users\isaac\phlag\caster\data\ape.fa	20000	1.23449	0.157388	6.10409	0.14369	200000
C:\Users\isaac\phlag\caster\data\ape.fa	30000	0.800107	0.33943	6.28365	0.0620593	200000
C:\Users\isaac\phlag\caster\data\ape.fa	40000	0.304113	0.494059	6.85699	-0.0248128	200000
C:\Users\isaac\phlag\caster\data\ape.fa	50000	0.184362	0.417088	7.43455	-0.0289604	200000
C:\Users\isaac\phlag\caster\data\ape.fa	60000	0.200361	2.76957	6.13608	-0.282144	200000
C:\Users\isaac\phlag\caster\data\ape.fa	70000	0.0511929	6.60694	4.92273	-0.566085	200000
C:\Users\isaac\phlag\caster\data\ape.fa	80000	0.501686	9.57635	3.55271	-0.66575	200000
C:\Users\isaac\phlag\caster\data\ape.fa	90000	0.609336	13.0212	1.81179	-0.803756	200000
C:\Users\isaac\phlag\caster\data\ape.fa	100000	0.567709	17.1964	0.444985	-0.913208	200000
C:\Users\isaac\phlag\caster\data\ape.fa	110000	0.569464	18.3282	0.475352	-0.916674	200000
C:\Users\isaac\phlag\caster\data\ape.fa	120000	0.661158	17.3462	0.47612	-0.9027	200000
C:\Users\isaac\phlag\caster\data\ape.fa	130000	0.430708	17.5956	0.429691	-0.930044	200000
C:\Users\isaac\phlag\caster\data\ape.fa	140000	0.306127	16.7056	0.303432	-0.947116	200000
C:\Users\isaac\phlag\caster\data\ape.fa	150000	0.274573	16.0986	0.183258	-0.955763	200000
C:\Users\isaac\phlag\caster\data\ape.fa	160000	0.0708258	12.9185	1.5115	-0.885997	200000
C:\Users\isaac\phlag\caster\data\ape.fa	170000	0.269655	10.1731	3.35292	-0.717865	200000
C:\Users\isaac\phlag\caster\data\ape.fa	180000	0.179096	6.80008	5.09483	-0.548367	200000
C:\Users\isaac\phlag\caster\data\ape.fa	190000	0.222712	4.16549	6.91363	-0.348862	200000
C:\Users\isaac\phlag\caster\data\ape.fa	200000	0.173058	0.585843	8.2208	-0.0459687	200000
C:\Users\isaac\phlag\caster\data\ape.fa	210000	0.497231	0.698657	8.31486	-0.0211788	200000
C:\Users\isaac\phlag\caster\data\ape.fa	220000	0.435651	0.605101	8.38805	-0.0179715	200000
C:\Users\isaac\phlag\caster\data\ape.fa	230000	0.618604	0.698636	8.98415	-0.00776905	200000
C:\Users\isaac\phlag\caster\data\ape.fa	240000	0.532626	0.779228	9.3038	-0.0232301	200000
C:\Users\isaac\phlag\caster\data\ape.fa	250000	0.624522	0.610876	9.5413	0.00126625	200000
C:\Users\isaac\phlag\caster\data\ape.fa	260000	0.56002	0.321396	10.1533	0.0216249	200000
C:\Users\isaac\phlag\caster\data\ape.fa	270000	0.440325	0.579815	9.67661	-0.0130405	200000
C:\Users\isaac\phlag\caster\data\ape.fa	280000	0.348045	0.638256	9.03204	-0.028968	200000
C:\Users\isaac\phlag\caster\data\ape.fa	290000	0.376136	0.711827	7.9935	-0.0369645	200000
C:\Users\isaac\phlag\caster\data\ape.fa	300000	0.391244	0.805534	8.37916	-0.0432636	200000
C:\Users\isaac\phlag\caster\data\ape.fa	310000	0.300642	1.14984	8.54874	-0.0849268	200000
C:\Users\isaac\phlag\caster\data\ape.fa	320000	0.556947	1.05594	8.26621	-0.0505099	200000
C:\Users\isaac\phlag\caster\data\ape.fa	330000	0.370502	1.34616	8.75553	-0.0931666	200000
C:\Users\isaac\phlag\caster\data\ape.fa	340000	0.355614	1.48483	9.1672	-0.102585	200000
C:\Users\isaac\phlag\caster\data\ape.fa	350000	0.675167	1.81721	8.79049	-0.101219	200000
C:\Users\isaac\phlag\caster\data\ape.fa	360000	0.794016	1.48302	7.99997	-0.0670435	200000
C:\Users\isaac\phlag\caster\data\ape.fa	370000	0.658268	1.53404	8.24054	-0.0839436	200000
C:\Users\isaac\phlag\caster\data\ape.fa	380000	1.06977	1.39714	8.12259	-0.0309147	200000
C:\Users\isaac\phlag\caster\data\ape.fa	390000	1.0399	1.19726	7.82327	-0.0156412	200000
C:\Users\isaac\phlag\caster\data\ape.fa	400000	0.997066	1.00067	7.20582	-0.000391881	200000
C:\Users\isaac\phlag\caster\data\ape.fa	410000	1.01739	1.03182	7.85494	-0.00145652	200000
C:\Users\isaac\phlag\caster\data\ape.fa	420000	1.27457	1.09984	7.05605	0.0185289	200000
C:\Users\isaac\phlag\caster\data\ape.fa	430000	0.952298	0.807121	6.55674	0.0174572	200000
C:\Users\isaac\phlag\caster\data\ape.fa	440000	1.0254	0.712268	6.37138	0.0386148	200000
C:\Users\isaac\phlag\caster\data\ape.fa	450000	0.731999	0.988827	6.26217	-0.032172	200000
