file	pos	c*ABBA	c*BABA	c*AABB	D*	QuartetCnt
/drive2/iang/msa/ape.fa	0	0.952158	0.402774	12.1548	0.0406656	200000
/drive2/iang/msa/ape.fa	1000	0.891898	0.342223	11.9978	0.0415417	200000
/drive2/iang/msa/ape.fa	2000	0.800948	0.28011	11.7676	0.0405363	200000
/drive2/iang/msa/ape.fa	3000	0.815047	0.26301	11.8891	0.042572	200000
/drive2/iang/msa/ape.fa	4000	0.815018	0.138651	11.8439	0.0528513	200000
/drive2/iang/msa/ape.fa	5000	0.830796	0.153794	11.8929	0.0525724	200000
/drive2/iang/msa/ape.fa	6000	0.755396	0.13981	12.1683	0.0471226	200000
/drive2/iang/msa/ape.fa	7000	0.755396	0.13981	12.2893	0.0466902	200000
/drive2/iang/msa/ape.fa	8000	0.75084	0.111283	12.2141	0.0489098	200000
/drive2/iang/msa/ape.fa	9000	0.688341	0.111803	12.1794	0.0444191	200000
/drive2/iang/msa/ape.fa	10000	0.719783	0.143787	12.1378	0.0443026	200000
/drive2/iang/msa/ape.fa	11000	0.688977	0.204885	12.1189	0.0372013	200000
/drive2/iang/msa/ape.fa	12000	0.642463	0.220323	12.2163	0.0322759	200000
/drive2/iang/msa/ape.fa	13000	0.689054	0.236336	12.2355	0.0343987	200000
/drive2/iang/msa/ape.fa	14000	0.615371	0.102504	12.2517	0.0395437	200000
/drive2/iang/msa/ape.fa	15000	0.583548	0.102504	11.9548	0.0380547	200000
/drive2/iang/msa/ape.fa	16000	0.688528	0.148674	11.9651	0.0421685	200000
/drive2/iang/msa/ape.fa	17000	0.717808	0.118695	12.1646	0.0460818	200000
/drive2/iang/msa/ape.fa	18000	0.794924	0.102684	11.9323	0.0539554	200000
/drive2/iang/msa/ape.fa	19000	0.794349	0.042113	12.117	0.0580724	200000
/drive2/iang/msa/ape.fa	20000	0.824315	0.103477	11.7166	0.0570085	200000
/drive2/iang/msa/ape.fa	21000	0.824315	0.13401	11.8623	0.0538434	200000
/drive2/iang/msa/ape.fa	22000	0.901375	0.0876452	11.4155	0.0655993	200000
/drive2/iang/msa/ape.fa	23000	0.901269	0.0554479	11.399	0.0684558	200000
/drive2/iang/msa/ape.fa	24000	0.733102	-0.052377	11.7601	0.0631374	200000
/drive2/iang/msa/ape.fa	25000	0.794809	-0.116262	11.8763	0.0725673	200000
/drive2/iang/msa/ape.fa	26000	0.716128	-0.00794999	11.7984	0.0578959	200000
/drive2/iang/msa/ape.fa	27000	0.702225	0.00831291	11.874	0.0551402	200000
/drive2/iang/msa/ape.fa	28000	0.670995	0.00851161	11.5824	0.0540278	200000
/drive2/iang/msa/ape.fa	29000	0.562588	-0.0378934	11.6992	0.0491237	200000
/drive2/iang/msa/ape.fa	30000	0.560498	-0.00948299	11.7086	0.0464927	200000
/drive2/iang/msa/ape.fa	31000	0.544406	-0.0247092	11.6473	0.0467751	200000
/drive2/iang/msa/ape.fa	32000	0.542888	0.00535513	11.6466	0.0440786	200000
/drive2/iang/msa/ape.fa	33000	0.498026	0.0210067	11.6992	0.0390417	200000
/drive2/iang/msa/ape.fa	34000	0.498026	-0.0686826	11.6911	0.0467563	200000
/drive2/iang/msa/ape.fa	35000	0.437287	-0.0985291	11.6812	0.0445773	200000
/drive2/iang/msa/ape.fa	36000	0.363567	-0.022893	11.5233	0.0325741	200000
/drive2/iang/msa/ape.fa	37000	0.363918	0.00810342	11.4374	0.0301297	200000
/drive2/iang/msa/ape.fa	38000	0.303133	-0.143057	11.6658	0.0377301	200000
/drive2/iang/msa/ape.fa	39000	0.302383	-0.144142	11.522	0.0382292	200000
/drive2/iang/msa/ape.fa	40000	0.2564	-0.0976997	11.294	0.0309184	200000
/drive2/iang/msa/ape.fa	41000	0.290106	-0.0677346	11.4686	0.0306084	200000
/drive2/iang/msa/ape.fa	42000	0.411353	-0.0369076	11.3255	0.038313	200000
/drive2/iang/msa/ape.fa	43000	0.364217	-0.0269335	11.5221	0.0329824	200000
/drive2/iang/msa/ape.fa	44000	0.333549	-0.0570054	11.721	0.032553	200000
/drive2/iang/msa/ape.fa	45000	0.319458	-0.0736157	11.463	0.0335707	200000
/drive2/iang/msa/ape.fa	46000	0.457095	0.0653919	11.3705	0.0329357	200000
/drive2/iang/msa/ape.fa	47000	0.53382	0.0204974	11.4207	0.042866	200000
/drive2/iang/msa/ape.fa	48000	0.48989	0.00421802	11.9348	0.0390759	200000
/drive2/iang/msa/ape.fa	49000	0.474597	-0.0429531	12.0765	0.0413772	200000
/drive2/iang/msa/ape.fa	50000	0.338309	-0.0890676	11.972	0.03497	200000
/drive2/iang/msa/ape.fa	51000	0.369955	-0.0571297	11.9183	0.034918	200000
/drive2/iang/msa/ape.fa	52000	0.369263	0.0349113	12.1549	0.0266225	200000
/drive2/iang/msa/ape.fa	53000	0.370054	0.00589371	11.9879	0.0294536	200000
/drive2/iang/msa/ape.fa	54000	0.367889	0.036501	11.9454	0.0268335	200000
/drive2/iang/msa/ape.fa	55000	0.365112	0.0341785	11.805	0.0271161	200000
/drive2/iang/msa/ape.fa	56000	0.382379	0.0503163	11.3705	0.0281334	200000
/drive2/iang/msa/ape.fa	57000	0.366807	0.0347443	11.5209	0.0278519	200000
/drive2/iang/msa/ape.fa	58000	0.368305	0.0347443	11.4767	0.028078	200000
/drive2/iang/msa/ape.fa	59000	0.38475	0.0194035	11.6858	0.0302189	200000
/drive2/iang/msa/ape.fa	60000	0.368949	0.0649313	11.4882	0.0255005	200000
/drive2/iang/msa/ape.fa	61000	0.460962	0.0656805	11.3691	0.0332289	200000
/drive2/iang/msa/ape.fa	62000	0.460787	0.0654673	11.5152	0.0328298	200000
/drive2/iang/msa/ape.fa	63000	0.354006	0.0500718	11.4747	0.0255863	200000
/drive2/iang/msa/ape.fa	64000	0.325465	0.110649	11.6965	0.0177057	200000
/drive2/iang/msa/ape.fa	65000	0.355579	0.0494175	11.8767	0.0249283	200000
/drive2/iang/msa/ape.fa	66000	0.297037	0.0810399	11.7804	0.0177652	200000
/drive2/iang/msa/ape.fa	67000	0.283531	0.0950479	12.0674	0.0151441	200000
/drive2/iang/msa/ape.fa	68000	0.28489	0.0959692	12.2734	0.0149294	200000
/drive2/iang/msa/ape.fa	69000	0.404161	0.126515	12.2626	0.0217025	200000
/drive2/iang/msa/ape.fa	70000	0.357951	0.0501609	12.4919	0.0238597	200000
/drive2/iang/msa/ape.fa	71000	0.372959	0.0646538	12.4544	0.0239144	200000
/drive2/iang/msa/ape.fa	72000	0.266119	0.172973	12.7554	0.00705948	200000
/drive2/iang/msa/ape.fa	73000	0.266152	0.203857	12.8234	0.00468618	200000
/drive2/iang/msa/ape.fa	74000	0.312687	0.190049	12.988	0.0090905	200000
/drive2/iang/msa/ape.fa	75000	0.282429	0.253934	13.0606	0.00209569	200000
/drive2/iang/msa/ape.fa	76000	0.282766	0.19081	12.9506	0.00685004	200000
/drive2/iang/msa/ape.fa	77000	0.282766	0.190915	12.9556	0.00683961	200000
/drive2/iang/msa/ape.fa	78000	0.35893	0.205603	13.0879	0.0112307	200000
/drive2/iang/msa/ape.fa	79000	0.437205	0.126893	13.2949	0.0223906	200000
/drive2/iang/msa/ape.fa	80000	0.485147	0.143072	13.3316	0.0245042	200000
/drive2/iang/msa/ape.fa	81000	0.425501	0.114481	13.497	0.0221572	200000
/drive2/iang/msa/ape.fa	82000	0.411517	0.100252	13.519	0.0221845	200000
/drive2/iang/msa/ape.fa	83000	0.411517	0.100505	13.5419	0.0221298	200000
/drive2/iang/msa/ape.fa	84000	0.426897	0.1457	13.9733	0.0193316	200000
/drive2/iang/msa/ape.fa	85000	0.457835	0.145746	13.9762	0.0214056	200000
/drive2/iang/msa/ape.fa	86000	0.503263	0.131816	13.9824	0.0254111	200000
/drive2/iang/msa/ape.fa	87000	0.549223	0.177862	13.902	0.0253851	200000
/drive2/iang/msa/ape.fa	88000	0.579883	0.208522	13.5803	0.0258451	200000
/drive2/iang/msa/ape.fa	89000	0.503967	0.164534	13.8017	0.0234573	200000
/drive2/iang/msa/ape.fa	90000	0.426656	0.0231866	13.9161	0.0280851	200000
/drive2/iang/msa/ape.fa	91000	0.396205	-0.00726425	14.1554	0.0277406	200000
/drive2/iang/msa/ape.fa	92000	0.337036	0.023152	14.3236	0.0213761	200000
/drive2/iang/msa/ape.fa	93000	0.323553	-0.0496224	14.1282	0.0259112	200000
/drive2/iang/msa/ape.fa	94000	0.323407	-0.143838	14.079	0.0327693	200000
/drive2/iang/msa/ape.fa	95000	0.293379	-0.142803	14.5856	0.0295993	200000
/drive2/iang/msa/ape.fa	96000	0.278909	-0.188299	14.7205	0.0315444	200000
/drive2/iang/msa/ape.fa	97000	0.201011	-0.174222	14.9258	0.0250949	200000
/drive2/iang/msa/ape.fa	98000	0.247459	-0.157589	14.3924	0.0279685	200000
/drive2/iang/msa/ape.fa	99000	0.261351	-0.111864	14.4221	0.0256125	200000
/drive2/iang/msa/ape.fa	100000	0.412392	-0.0509977	14.6426	0.0308843	200000
/drive2/iang/msa/ape.fa	101000	0.442978	-0.0508351	14.5934	0.0329527	200000
/drive2/iang/msa/ape.fa	102000	0.443617	-0.0808156	14.3458	0.0356548	200000
/drive2/iang/msa/ape.fa	103000	0.442617	0.00877527	14.4744	0.0290666	200000
/drive2/iang/msa/ape.fa	104000	0.44423	-0.0206792	14.4809	0.0311926	200000
/drive2/iang/msa/ape.fa	105000	0.38493	-0.0493166	14.4302	0.029409	200000
/drive2/iang/msa/ape.fa	106000	0.352865	-0.0802517	14.5204	0.0292784	200000
/drive2/iang/msa/ape.fa	107000	0.429298	-0.0342495	14.2033	0.0317533	200000
/drive2/iang/msa/ape.fa	108000	0.429298	-0.0342495	14.3125	0.0315177	200000
/drive2/iang/msa/ape.fa	109000	0.474982	0.0114347	14.3498	0.0312443	200000
/drive2/iang/msa/ape.fa	110000	0.567202	0.0426567	14.4892	0.0347402	200000
/drive2/iang/msa/ape.fa	111000	0.565904	0.0413584	14.7254	0.034211	200000
/drive2/iang/msa/ape.fa	112000	0.612327	0.0263602	14.8538	0.0378226	200000
/drive2/iang/msa/ape.fa	113000	0.628501	0.0413754	14.6269	0.0383823	200000
/drive2/iang/msa/ape.fa	114000	0.611586	0.0563934	14.6331	0.0362846	200000
/drive2/iang/msa/ape.fa	115000	0.5519	0.0866815	14.7795	0.0301736	200000
/drive2/iang/msa/ape.fa	116000	0.551308	0.0566923	14.8268	0.0320455	200000
/drive2/iang/msa/ape.fa	117000	0.504058	0.0404732	14.4517	0.0309134	200000
/drive2/iang/msa/ape.fa	118000	0.472949	-0.0839988	14.6278	0.0370885	200000
/drive2/iang/msa/ape.fa	119000	0.414102	-0.0226038	14.7152	0.0289081	200000
/drive2/iang/msa/ape.fa	120000	0.429238	0.0237549	14.8927	0.0264232	200000
/drive2/iang/msa/ape.fa	121000	0.350912	-0.0218871	14.9101	0.0244633	200000
/drive2/iang/msa/ape.fa	122000	0.334667	-0.12952	14.7741	0.0309886	200000
/drive2/iang/msa/ape.fa	123000	0.396983	-0.0980936	14.7577	0.0328811	200000
/drive2/iang/msa/ape.fa	124000	0.487211	-0.0375946	14.4126	0.0353115	200000
/drive2/iang/msa/ape.fa	125000	0.426416	-0.0377235	14.5716	0.0310248	200000
/drive2/iang/msa/ape.fa	126000	0.459146	-0.00499316	14.3086	0.0314399	200000
/drive2/iang/msa/ape.fa	127000	0.455358	0.0237562	14.1213	0.029561	200000
/drive2/iang/msa/ape.fa	128000	0.378899	0.00911914	14.0564	0.0256002	200000
/drive2/iang/msa/ape.fa	129000	0.40781	0.193143	13.919	0.0147843	200000
/drive2/iang/msa/ape.fa	130000	0.407336	0.163251	13.8412	0.0169365	200000
/drive2/iang/msa/ape.fa	131000	0.451817	0.177748	13.8888	0.0188773	200000
/drive2/iang/msa/ape.fa	132000	0.433415	0.221776	13.7262	0.0147162	200000
/drive2/iang/msa/ape.fa	133000	0.417489	0.236963	13.5634	0.0126971	200000
/drive2/iang/msa/ape.fa	134000	0.35333	0.236839	13.3258	0.00837104	200000
/drive2/iang/msa/ape.fa	135000	0.353284	0.205737	13.2015	0.0107225	200000
/drive2/iang/msa/ape.fa	136000	0.306022	0.189923	13.215	0.00846761	200000
/drive2/iang/msa/ape.fa	137000	0.320494	0.0828671	13.1572	0.0175234	200000
/drive2/iang/msa/ape.fa	138000	0.273335	0.0671474	13.2487	0.0151729	200000
/drive2/iang/msa/ape.fa	139000	0.272728	0.0354684	13.374	0.0173407	200000
/drive2/iang/msa/ape.fa	140000	0.365065	0.1915	13.4094	0.0124277	200000
/drive2/iang/msa/ape.fa	141000	0.378661	0.174247	13.1816	0.0148832	200000
/drive2/iang/msa/ape.fa	142000	0.331758	0.158687	13.1918	0.0126493	200000
/drive2/iang/msa/ape.fa	143000	0.332736	0.128414	13.1516	0.0150097	200000
/drive2/iang/msa/ape.fa	144000	0.363142	0.191553	13.1549	0.012516	200000
/drive2/iang/msa/ape.fa	145000	0.347874	0.207558	12.985	0.0103628	200000
/drive2/iang/msa/ape.fa	146000	0.31843	0.207241	13.0462	0.00819258	200000
/drive2/iang/msa/ape.fa	147000	0.380931	0.177413	13.03	0.0149774	200000
/drive2/iang/msa/ape.fa	148000	0.425536	0.222882	13.2023	0.0146313	200000
/drive2/iang/msa/ape.fa	149000	0.382422	0.238893	13.2879	0.010319	200000
/drive2/iang/msa/ape.fa	150000	0.322186	0.178657	13.1552	0.0105103	200000
/drive2/iang/msa/ape.fa	151000	0.306761	0.161906	13.4877	0.0103791	200000
/drive2/iang/msa/ape.fa	152000	0.39637	0.0980483	13.5243	0.0212802	200000
/drive2/iang/msa/ape.fa	153000	0.351328	0.0235631	13.4116	0.0237744	200000
/drive2/iang/msa/ape.fa	154000	0.305257	0.189789	13.5024	0.00824921	200000
/drive2/iang/msa/ape.fa	155000	0.274754	0.189989	13.7948	0.00594447	200000
/drive2/iang/msa/ape.fa	156000	0.198638	0.175248	13.6153	0.00167199	200000
/drive2/iang/msa/ape.fa	157000	0.169171	0.114282	13.6288	0.00394532	200000
/drive2/iang/msa/ape.fa	158000	0.16816	0.143261	13.6264	0.00178641	200000
/drive2/iang/msa/ape.fa	159000	0.137305	0.112893	13.3683	0.00179262	200000
/drive2/iang/msa/ape.fa	160000	0.0744826	0.0806373	13.3504	-0.000455714	200000
/drive2/iang/msa/ape.fa	161000	0.0447664	0.0511507	13.0972	-0.000483915	200000
/drive2/iang/msa/ape.fa	162000	0.0296852	0.0666762	12.7906	-0.00287043	200000
/drive2/iang/msa/ape.fa	163000	0.0612495	0.0673303	12.788	-0.000470778	200000
/drive2/iang/msa/ape.fa	164000	0.139047	0.051522	12.8391	0.00671738	200000
/drive2/iang/msa/ape.fa	165000	0.154279	0.128907	12.5311	0.00198003	200000
/drive2/iang/msa/ape.fa	166000	0.154596	0.128907	12.6154	0.00199161	200000
/drive2/iang/msa/ape.fa	167000	0.217734	0.16107	12.7509	0.0043157	200000
/drive2/iang/msa/ape.fa	168000	0.248733	0.316184	12.5126	-0.0051578	200000
/drive2/iang/msa/ape.fa	169000	0.218931	0.254853	12.2494	-0.00282334	200000
/drive2/iang/msa/ape.fa	170000	0.218237	0.284947	12.088	-0.00529813	200000
/drive2/iang/msa/ape.fa	171000	0.235354	0.268399	12.0161	-0.00263941	200000
/drive2/iang/msa/ape.fa	172000	0.296579	0.360102	11.848	-0.00507996	200000
/drive2/iang/msa/ape.fa	173000	0.325062	0.359818	12.0149	-0.0027367	200000
/drive2/iang/msa/ape.fa	174000	0.189151	0.284091	11.814	-0.00772676	200000
/drive2/iang/msa/ape.fa	175000	0.219277	0.25291	11.8536	-0.00272867	200000
/drive2/iang/msa/ape.fa	176000	0.24975	0.25291	12.0728	-0.0002513	200000
/drive2/iang/msa/ape.fa	177000	0.283545	0.163293	12.0027	0.00965921	200000
/drive2/iang/msa/ape.fa	178000	0.315452	0.162302	11.9488	0.0123244	200000
/drive2/iang/msa/ape.fa	179000	0.271238	0.0886123	11.817	0.0149977	200000
/drive2/iang/msa/ape.fa	180000	0.240631	0.0891867	12.1732	0.0121127	200000
/drive2/iang/msa/ape.fa	181000	0.164204	0.132741	11.817	0.00259725	200000
/drive2/iang/msa/ape.fa	182000	0.228015	0.104215	12.0605	0.00998978	200000
/drive2/iang/msa/ape.fa	183000	0.285795	0.0721469	12.1451	0.0170877	200000
/drive2/iang/msa/ape.fa	184000	0.364517	0.117857	12.2622	0.0193542	200000
/drive2/iang/msa/ape.fa	185000	0.394809	0.178032	12.383	0.016732	200000
/drive2/iang/msa/ape.fa	186000	0.41126	0.161341	12.248	0.0194936	200000
/drive2/iang/msa/ape.fa	187000	0.289184	0.192176	12.2305	0.00763128	200000
/drive2/iang/msa/ape.fa	188000	0.366625	0.238464	12.101	0.0100865	200000
/drive2/iang/msa/ape.fa	189000	0.275118	0.300354	11.8322	-0.00203388	200000
/drive2/iang/msa/ape.fa	190000	0.290954	0.223331	11.9743	0.00541479	200000
/drive2/iang/msa/ape.fa	191000	0.321985	0.193616	11.8387	0.0103906	200000
/drive2/iang/msa/ape.fa	192000	0.306457	0.265704	11.6712	0.00332851	200000
/drive2/iang/msa/ape.fa	193000	0.320504	0.311004	11.764	0.000766416	200000
/drive2/iang/msa/ape.fa	194000	0.290451	0.369932	11.4568	-0.00655938	200000
/drive2/iang/msa/ape.fa	195000	0.351842	0.369467	11.2466	-0.00147274	200000
/drive2/iang/msa/ape.fa	196000	0.442628	0.338225	11.0073	0.00885661	200000
/drive2/iang/msa/ape.fa	197000	0.427264	0.38487	10.7298	0.00367309	200000
/drive2/iang/msa/ape.fa	198000	0.38266	0.369915	10.6562	0.00111711	200000
/drive2/iang/msa/ape.fa	199000	0.411592	0.30885	10.713	0.00898614	200000
/drive2/iang/msa/ape.fa	200000	0.412533	0.339247	10.759	0.00636678	200000
/drive2/iang/msa/ape.fa	201000	0.396005	0.415647	10.4388	-0.0017459	200000
/drive2/iang/msa/ape.fa	202000	0.337193	0.41686	10.5242	-0.00706381	200000
/drive2/iang/msa/ape.fa	203000	0.383855	0.494397	10.9484	-0.00934695	200000
/drive2/iang/msa/ape.fa	204000	0.47537	0.342939	11.2546	0.0109693	200000
/drive2/iang/msa/ape.fa	205000	0.657417	0.403211	10.9503	0.0211646	200000
/drive2/iang/msa/ape.fa	206000	0.762794	0.448341	11.0217	0.0257055	200000
/drive2/iang/msa/ape.fa	207000	0.746283	0.463967	10.9312	0.0232523	200000
/drive2/iang/msa/ape.fa	208000	0.747154	0.434988	10.7807	0.0260946	200000
/drive2/iang/msa/ape.fa	209000	0.685692	0.37304	10.7834	0.0264017	200000
/drive2/iang/msa/ape.fa	210000	0.702425	0.389773	11.0156	0.0258224	200000
/drive2/iang/msa/ape.fa	211000	0.716749	0.436405	11.1878	0.0227166	200000
