pos	avg*ABBA	avg*BABA	avg*AABB	sliding_D*	QuartetCnt
0	0.0114957	0.0803822	0.126023	0.581065	2e+06
1000	0.0116432	0.0803099	0.125867	0.58227	1.996e+06
2000	0.0115136	0.0802876	0.125601	0.580784	1.992e+06
3000	0.0115368	0.0804491	0.125609	0.580303	1.988e+06
4000	0.0114354	0.0804868	0.12524	0.578585	1.984e+06
5000	0.0114893	0.0806494	0.124787	0.57744	1.98e+06
6000	0.0113912	0.0807216	0.124739	0.576232	1.976e+06
7000	0.0114143	0.080762	0.124499	0.575771	1.972e+06
8000	0.0114715	0.0809001	0.124663	0.575984	1.968e+06
9000	0.0113095	0.081034	0.124797	0.574353	1.964e+06
10000	0.0113326	0.0814542	0.124485	0.572144	1.96e+06
11000	0.0114821	0.0816208	0.124561	0.572823	1.956e+06
12000	0.0114438	0.0818526	0.124698	0.571808	1.952e+06
13000	0.0114673	0.0818405	0.123667	0.569979	1.948e+06
14000	0.011371	0.0818291	0.123861	0.569626	1.944e+06
15000	0.0113312	0.0820623	0.1238	0.568194	1.94e+06
16000	0.0114194	0.0821703	0.123877	0.568623	1.936e+06
17000	0.011443	0.0823098	0.124196	0.568878	1.932e+06
18000	0.0115319	0.0822031	0.124329	0.570321	1.928e+06
19000	0.0116184	0.082374	0.124161	0.569977	1.924e+06
20000	0.011708	0.0825456	0.124295	0.570263	1.92e+06
21000	0.0117324	0.0828494	0.124368	0.569341	1.916e+06
22000	0.011757	0.08296	0.124379	0.569104	1.912e+06
23000	0.011847	0.0831339	0.124137	0.568631	1.908e+06
24000	0.01184	0.0832447	0.124241	0.568321	1.904e+06
25000	0.0118649	0.08342	0.124318	0.567952	1.9e+06
26000	0.0115993	0.083596	0.12449	0.565399	1.896e+06
27000	0.0116238	0.0835811	0.124303	0.565283	1.892e+06
28000	0.0114546	0.0837582	0.124505	0.563576	1.888e+06
29000	0.0113818	0.0839691	0.124543	0.562189	1.884e+06
30000	0.0113088	0.0841153	0.124451	0.560804	1.88e+06
31000	0.0112682	0.0843288	0.124329	0.559344	1.876e+06
32000	0.0112287	0.0845417	0.124532	0.558565	1.872e+06
33000	0.0111887	0.0846587	0.124931	0.558573	1.868e+06
34000	0.0110298	0.0848403	0.124952	0.556576	1.864e+06
35000	0.0110535	0.0851543	0.124707	0.55499	1.86e+06
36000	0.0105033	0.0853379	0.124784	0.5499	1.856e+06
37000	0.010397	0.0853931	0.12493	0.549107	1.852e+06
38000	0.0103543	0.0855462	0.124874	0.548022	1.848e+06
39000	0.0103779	0.0856665	0.124753	0.547478	1.844e+06
40000	0.0104021	0.0858874	0.124359	0.545962	1.84e+06
41000	0.0104248	0.0857836	0.124317	0.546478	1.836e+06
42000	0.0105167	0.0860411	0.12432	0.546201	1.832e+06
43000	0.0103752	0.0861651	0.12423	0.544351	1.828e+06
44000	0.010332	0.0863188	0.12444	0.54382	1.824e+06
45000	0.0102901	0.0865427	0.12432	0.542326	1.82e+06
46000	0.0102814	0.0866325	0.124359	0.541978	1.816e+06
47000	0.0102714	0.086826	0.124671	0.541779	1.812e+06
48000	0.010234	0.0870181	0.12495	0.541293	1.808e+06
49000	0.0102567	0.0871789	0.124906	0.540747	1.804e+06
50000	0.0101466	0.087374	0.124718	0.538674	1.8e+06
51000	0.0100696	0.0876027	0.12491	0.537542	1.796e+06
52000	0.0100921	0.0877983	0.124854	0.536835	1.792e+06
53000	0.0100471	0.0880329	0.124935	0.535712	1.788e+06
54000	0.0100017	0.088231	0.125079	0.534867	1.784e+06
55000	0.0100944	0.0883947	0.124879	0.534557	1.78e+06
56000	0.0101172	0.0887318	0.124697	0.533033	1.776e+06
57000	0.01014	0.0890736	0.124841	0.532188	1.772e+06
58000	0.010233	0.0892751	0.124933	0.532354	1.768e+06
59000	0.0101883	0.089514	0.124824	0.530828	1.764e+06
60000	0.0102115	0.0897526	0.124636	0.529688	1.76e+06
61000	0.0101	0.089957	0.12459	0.527887	1.756e+06
62000	0.0101231	0.0901624	0.124247	0.526544	1.752e+06
63000	0.010008	0.0903342	0.124256	0.52496	1.748e+06
64000	0.0099675	0.0905083	0.124414	0.524295	1.744e+06
65000	0.00999041	0.0907513	0.12436	0.52343	1.74e+06
66000	0.00994418	0.0908251	0.124239	0.522507	1.736e+06
67000	0.00996714	0.0910349	0.124397	0.522229	1.732e+06
68000	0.00995513	0.0913541	0.124373	0.520855	1.728e+06
69000	0.0100502	0.091603	0.124523	0.521	1.724e+06
70000	0.0102224	0.0917812	0.124606	0.521897	1.72e+06
71000	0.00996157	0.0919239	0.124469	0.518939	1.716e+06
72000	0.00998485	0.0921387	0.124191	0.517708	1.712e+06
73000	0.00994213	0.0922124	0.124486	0.517721	1.708e+06
74000	0.00996748	0.0923965	0.124708	0.517707	1.704e+06
