file	pos	c*ABBA	c*BABA	c*AABB	D*	QuartetCnt
C:\Users\isaac\phlag\caster\data\ape.fa	0	0.268185	0.235631	0.269793	0.865336	1600
C:\Users\isaac\phlag\caster\data\ape.fa	400	0.0927012	0.325743	0.423932	0.865189	1600
C:\Users\isaac\phlag\caster\data\ape.fa	800	0.327865	0.317114	0.410866	0.865392	1600
C:\Users\isaac\phlag\caster\data\ape.fa	1200	0.311977	0.18886	0.353125	0.865511	1600
C:\Users\isaac\phlag\caster\data\ape.fa	1600	0.348752	0.18886	0.420568	0.86552	1600
C:\Users\isaac\phlag\caster\data\ape.fa	2000	0.268185	0.18886	0.325521	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	2400	0.268185	0.18886	0.321866	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	2800	0.268185	0.18886	0.537076	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	3200	0.435158	0.18886	0.373003	0.865573	1600
C:\Users\isaac\phlag\caster\data\ape.fa	3600	0.268185	0.28523	0.271399	0.865292	1600
C:\Users\isaac\phlag\caster\data\ape.fa	4000	0.268185	0.18886	0.429469	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	4400	0.224411	0.18886	0.188149	0.865597	1600
C:\Users\isaac\phlag\caster\data\ape.fa	4800	0.268185	0.235307	0.691363	0.865441	1600
C:\Users\isaac\phlag\caster\data\ape.fa	5200	0.268185	0.211589	0.366339	0.865428	1600
C:\Users\isaac\phlag\caster\data\ape.fa	5600	0.440908	0.18886	0.271321	0.865642	1600
C:\Users\isaac\phlag\caster\data\ape.fa	6000	0.268185	0.284245	0.433311	0.865379	1600
C:\Users\isaac\phlag\caster\data\ape.fa	6400	0.268185	0.18886	0.323367	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	6800	0.268185	0.164929	0.322054	0.865558	1600
C:\Users\isaac\phlag\caster\data\ape.fa	7200	0.222888	0.258378	0.295623	0.865248	1600
C:\Users\isaac\phlag\caster\data\ape.fa	7600	0.268185	0.163603	0.216683	0.865204	1600
C:\Users\isaac\phlag\caster\data\ape.fa	8000	0.521699	0.212401	0.323213	0.865587	1600
C:\Users\isaac\phlag\caster\data\ape.fa	8400	0.268185	0.18886	0.214998	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	8800	0.268185	0.18886	0.216683	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	9200	0.268185	0.0912564	0.216683	0.865204	1600
C:\Users\isaac\phlag\caster\data\ape.fa	9600	0.268185	0.0909137	0.705695	0.865545	1600
C:\Users\isaac\phlag\caster\data\ape.fa	10000	0.268185	0.18886	0.216683	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	10400	0.187251	0.18886	0.264618	0.869588	1600
C:\Users\isaac\phlag\caster\data\ape.fa	10800	0.268184	0.18886	0.488451	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	11200	0.268185	0.18886	0.216683	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	11600	0.268185	0.138915	0.155515	0.86534	1600
C:\Users\isaac\phlag\caster\data\ape.fa	12000	0.268185	0.18886	0.893069	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	12400	0.268185	0.187072	0.630755	0.865468	1600
C:\Users\isaac\phlag\caster\data\ape.fa	12800	0.268185	0.381193	0.216683	0.865204	1600
C:\Users\isaac\phlag\caster\data\ape.fa	13200	0.347111	0.210847	0.216683	0.865555	1600
C:\Users\isaac\phlag\caster\data\ape.fa	13600	0.349174	0.256544	0.267921	0.865429	1600
C:\Users\isaac\phlag\caster\data\ape.fa	14000	0.268185	0.141361	0.378489	0.865599	1600
C:\Users\isaac\phlag\caster\data\ape.fa	14400	0.351885	0.18886	0.216683	0.86573	1600
C:\Users\isaac\phlag\caster\data\ape.fa	14800	0.181262	0.18886	0.485917	0.8654	1600
C:\Users\isaac\phlag\caster\data\ape.fa	15200	0.268185	0.18886	0.214503	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	15600	0.268185	0.234246	0.213757	0.865188	1600
C:\Users\isaac\phlag\caster\data\ape.fa	16000	0.268185	0.21187	0.216683	0.865204	1600
C:\Users\isaac\phlag\caster\data\ape.fa	16400	0.268185	0.18886	0.162216	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	16800	0.268185	0.369216	0.216683	0.865204	1600
C:\Users\isaac\phlag\caster\data\ape.fa	17200	0.182458	0.234279	0.216683	0.875925	1600
C:\Users\isaac\phlag\caster\data\ape.fa	17600	0.268185	0.16423	0.324811	0.865559	1600
C:\Users\isaac\phlag\caster\data\ape.fa	18000	0.268185	0.18886	0.423706	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	18400	0.183055	0.18886	0.323109	0.865198	1600
C:\Users\isaac\phlag\caster\data\ape.fa	18800	0.268185	0.18886	0.367915	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	19200	0.268185	0.18886	0.216683	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	19600	0.182344	0.18886	0.215691	0.865725	1600
C:\Users\isaac\phlag\caster\data\ape.fa	20000	0.268185	0.18886	0.324239	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	20400	0.268185	0.0922139	0.269767	0.864958	1600
C:\Users\isaac\phlag\caster\data\ape.fa	20800	0.268185	0.18886	0.216683	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	21200	0.268185	0.18886	0.211628	0.865467	1600
C:\Users\isaac\phlag\caster\data\ape.fa	21600	0.268185	0.234379	0.423438	0.865414	1600
C:\Users\isaac\phlag\caster\data\ape.fa	22000	0.268185	0.18886	0.322282	0.865467	1600
