file	pos	c*ABBA	c*BABA	c*AABB	D*	QuartetCnt
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	0	0.496584	0.868237	0.325021	0.243162	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	1000	0.476805	0.870462	0.324325	0.22653	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	2000	0.488578	0.859427	0.337658	0.244636	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	3000	0.488377	0.895217	0.397098	0.226363	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	4000	0.469538	0.830106	0.422836	0.259265	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	5000	0.460027	0.895122	0.421401	0.208583	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	6000	0.483181	0.902349	0.421379	0.220534	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	7000	0.491872	0.897596	0.39015	0.226542	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	8000	0.472129	0.85992	0.394859	0.238116	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	9000	0.473765	0.901233	0.338538	0.20452	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	10000	0.46869	0.838584	0.348396	0.245382	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	11000	0.434667	0.872353	0.342864	0.195412	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	12000	0.405415	0.882518	0.350916	0.167146	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	13000	0.334774	0.903865	0.350957	0.0978699	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	14000	0.366535	0.866706	0.317252	0.142792	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	15000	0.383196	0.880918	0.297132	0.142686	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	16000	0.367745	0.896998	0.319972	0.122998	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	17000	0.338113	0.909121	0.351011	0.096894	11980800000
C:\Users\isaac\phlag\caster\data\simulations\anomaly_case-admixture-Strigiformes_N297_rate090_time7099554-500Kb-1.fa	18000	0.301502	0.901472	0.367951	0.0766758	11980800000
