file	pos	c*ABBA	c*BABA	c*AABB	D*	QuartetCnt
C:\Users\isaac\phlag\caster\data\ape.fa	0	0.827016	0.0400408	0.676555	0.891645	200000
C:\Users\isaac\phlag\caster\data\ape.fa	100	0.827016	0.0400408	0.682543	0.891471	200000
C:\Users\isaac\phlag\caster\data\ape.fa	200	0.846276	0.0384262	0.682543	0.89738	200000
C:\Users\isaac\phlag\caster\data\ape.fa	300	0.846276	0.0376039	0.679629	0.899096	200000
C:\Users\isaac\phlag\caster\data\ape.fa	400	0.846276	0.0376039	0.679629	0.899096	200000
C:\Users\isaac\phlag\caster\data\ape.fa	500	0.846276	0.0376039	0.679629	0.899096	200000
C:\Users\isaac\phlag\caster\data\ape.fa	600	0.892488	0.0376039	0.679576	0.90569	200000
C:\Users\isaac\phlag\caster\data\ape.fa	700	0.892488	0.0376039	0.666709	0.906272	200000
C:\Users\isaac\phlag\caster\data\ape.fa	800	0.901317	0.0327532	0.664987	0.917407	200000
C:\Users\isaac\phlag\caster\data\ape.fa	900	0.901317	0.0327532	0.658837	0.917773	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1000	0.901317	0.0327532	0.658837	0.917773	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1100	0.923146	0.0312482	0.658837	0.924009	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1200	0.884546	0.0282064	0.659107	0.924764	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1300	0.862178	0.0282064	0.668704	0.920893	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1400	0.862178	0.0282064	0.668704	0.920893	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1500	0.851267	0.0282064	0.673114	0.919041	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1600	0.872711	0.0282064	0.663688	0.922742	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1700	0.872711	0.0282064	0.65421	0.923378	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1800	0.872711	0.0282064	0.648177	0.92379	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1900	0.852256	0.0282064	0.645099	0.920972	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2000	0.852256	0.0282064	0.647974	0.920783	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2100	0.852256	0.0282064	0.647659	0.920804	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2200	0.852256	0.0282064	0.641476	0.921212	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2300	0.852256	0.0295613	0.646539	0.918001	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2400	0.852256	0.0295613	0.652811	0.917614	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2500	0.852256	0.0303154	0.652811	0.916033	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2600	0.873215	0.0303154	0.646327	0.919523	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2700	0.873215	0.0303154	0.643188	0.919723	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2800	0.873215	0.0286731	0.643188	0.923214	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2900	0.873215	0.0286731	0.643188	0.923214	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3000	0.873215	0.0269155	0.643188	0.926978	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3100	0.873215	0.0269121	0.63347	0.927706	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3200	0.873215	0.0269121	0.630456	0.927933	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3300	0.916293	0.0269121	0.620932	0.935141	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3400	0.916293	0.0269121	0.620812	0.935151	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3500	0.874929	0.0269121	0.620812	0.92893	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3600	0.852411	0.0269121	0.620812	0.925503	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3700	0.852411	0.0234696	0.617596	0.933458	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3800	0.852411	0.0234696	0.617596	0.933458	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3900	0.852411	0.0234696	0.617596	0.933458	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4000	0.852411	0.0234696	0.617596	0.933458	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4100	0.852411	0.0242685	0.617528	0.931662	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4200	0.830053	0.0242685	0.620725	0.927973	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4300	0.830053	0.0242685	0.607886	0.928986	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4400	0.830053	0.0242685	0.614347	0.928472	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4500	0.841924	0.0242685	0.612843	0.930431	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4600	0.841924	0.0242685	0.612732	0.93044	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4700	0.841924	0.0242685	0.619242	0.929915	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4800	0.841924	0.0242685	0.627447	0.929265	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4900	0.841924	0.0242685	0.609787	0.93068	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5000	0.841924	0.0242685	0.60339	0.931208	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5100	0.841924	0.0242685	0.600227	0.931473	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5200	0.841924	0.0228767	0.600227	0.934692	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5300	0.841924	0.0221376	0.603765	0.936091	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5400	0.841924	0.0221376	0.606659	0.935831	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5500	0.841924	0.0221376	0.600589	0.936377	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5600	0.841924	0.0221376	0.59718	0.936688	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5700	0.841924	0.0221376	0.599677	0.93646	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5800	0.820663	0.0221376	0.60189	0.932919	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5900	0.820663	0.0184156	0.60189	0.94165	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6000	0.798945	0.0184156	0.607646	0.937675	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6100	0.798945	0.0184156	0.601144	0.938285	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6200	0.798945	0.0184156	0.601144	0.938285	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6300	0.798945	0.0151505	0.601144	0.946089	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6400	0.798945	0.0151505	0.594722	0.946774	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6500	0.798945	0.0151505	0.594721	0.946774	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6600	0.798945	0.0114294	0.594721	0.955906	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6700	0.798945	0.0114294	0.594721	0.955906	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6800	0.798945	0.0114294	0.595259	0.955841	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6900	0.798945	0.0114294	0.589622	0.956525	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7000	0.798945	0.0114294	0.589622	0.956525	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7100	0.798945	0.0123188	0.589622	0.954311	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7200	0.798945	0.0123188	0.589622	0.954311	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7300	0.798945	0.0123188	0.588874	0.9544	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7400	0.798945	0.00926306	0.588874	0.962059	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7500	0.800544	0.00926306	0.588874	0.962316	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7600	0.81136	0.0101019	0.593708	0.96131	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7700	0.81136	0.0101019	0.593666	0.961316	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7800	0.81136	0.0109033	0.593666	0.959319	200000
C:\Users\isaac\phlag\caster\data\ape.fa	7900	0.81136	0.0109033	0.593666	0.959319	200000
C:\Users\isaac\phlag\caster\data\ape.fa	8000	0.782357	0.0109033	0.593666	0.954681	200000
C:\Users\isaac\phlag\caster\data\ape.fa	8100	0.74716	0.0109033	0.588874	0.949524	200000
C:\Users\isaac\phlag\caster\data\ape.fa	8200	0.748507	0.0109033	0.588874	0.949745	200000
C:\Users\isaac\phlag\caster\data\ape.fa	8300	0.748507	0.0100334	0.588874	0.951933	200000
