file	pos	c*ABBA	c*BABA	c*AABB	D*	QuartetCnt
C:\Users\isaac\phlag\caster\data\ape.fa	0	0.510391	0.181989	0.694017	0.627931	16000
C:\Users\isaac\phlag\caster\data\ape.fa	4000	0.438805	0.114315	0.617832	0.660381	16000
C:\Users\isaac\phlag\caster\data\ape.fa	8000	0.486625	0	0.40785	0.96737	16000
C:\Users\isaac\phlag\caster\data\ape.fa	12000	0.486047	0.139592	0.696981	0.656816	16000
C:\Users\isaac\phlag\caster\data\ape.fa	16000	0.246157	0.126382	0.280982	0.358145	16000
C:\Users\isaac\phlag\caster\data\ape.fa	20000	0.367993	0.0608094	0.438146	0.6962	16000
C:\Users\isaac\phlag\caster\data\ape.fa	24000	0.75103	0.10148	0.333175	0.812172	16000
C:\Users\isaac\phlag\caster\data\ape.fa	28000	0.632556	0.047776	0.41111	0.866307	16000
C:\Users\isaac\phlag\caster\data\ape.fa	32000	1	0.0480326	0.341707	1	16000
C:\Users\isaac\phlag\caster\data\ape.fa	36000	0.534492	0.101225	0.556568	0.710274	16000
C:\Users\isaac\phlag\caster\data\ape.fa	40000	0.511021	0.127622	0.3978	0.654441	16000
C:\Users\isaac\phlag\caster\data\ape.fa	44000	0.530203	0.0738808	0.259003	0.790508	16000
C:\Users\isaac\phlag\caster\data\ape.fa	48000	0.55836	0.0611202	0.453188	0.794427	16000
C:\Users\isaac\phlag\caster\data\ape.fa	52000	0.438916	0.033402	0.471507	0.799792	16000
C:\Users\isaac\phlag\caster\data\ape.fa	56000	0.391554	0.0206375	0.445591	0.818177	16000
C:\Users\isaac\phlag\caster\data\ape.fa	60000	0.627806	0.0748727	0.485327	0.789692	16000
C:\Users\isaac\phlag\caster\data\ape.fa	64000	0.463912	0.0599178	0.431135	0.755731	16000
C:\Users\isaac\phlag\caster\data\ape.fa	68000	0.436778	0.0748728	0.471619	0.708519	16000
C:\Users\isaac\phlag\caster\data\ape.fa	72000	0.385489	0.127212	0.323538	0.552997	16000
C:\Users\isaac\phlag\caster\data\ape.fa	76000	0	0.101416	0.468022	0.282272	16000
C:\Users\isaac\phlag\caster\data\ape.fa	80000	0.390977	0.108471	0.472739	0.628798	16000
C:\Users\isaac\phlag\caster\data\ape.fa	84000	0.318293	0.0545273	0.796628	0.694007	16000
C:\Users\isaac\phlag\caster\data\ape.fa	88000	0.632371	0.128247	0.368154	0.7107	16000
C:\Users\isaac\phlag\caster\data\ape.fa	92000	0.459896	0.106505	0.542715	0.673027	16000
C:\Users\isaac\phlag\caster\data\ape.fa	96000	0.39117	0.0403399	0.636797	0.742352	16000
C:\Users\isaac\phlag\caster\data\ape.fa	100000	0.487655	0.440364	0.0744238	0.262572	16000
C:\Users\isaac\phlag\caster\data\ape.fa	104000	0.393324	0.614778	0.0751965	0.196287	16000
C:\Users\isaac\phlag\caster\data\ape.fa	108000	0.438414	0.198281	0.0746135	0.281955	16000
C:\Users\isaac\phlag\caster\data\ape.fa	112000	0.367932	0.83632	0.0638385	0.181827	16000
C:\Users\isaac\phlag\caster\data\ape.fa	116000	0.342124	0.87359	0.116773	0.194936	16000
C:\Users\isaac\phlag\caster\data\ape.fa	120000	0.631043	0.594929	0.0960823	0.31871	16000
C:\Users\isaac\phlag\caster\data\ape.fa	124000	0.53607	0.595896	0.096099	0.277643	16000
C:\Users\isaac\phlag\caster\data\ape.fa	128000	0.416789	0.876668	0.0422665	0.191264	16000
C:\Users\isaac\phlag\caster\data\ape.fa	132000	0.537449	0.401925	0.0536513	0.289851	16000
C:\Users\isaac\phlag\caster\data\ape.fa	136000	0.580899	0.855799	0.158674	0.286426	16000
C:\Users\isaac\phlag\caster\data\ape.fa	140000	0.441053	0.709567	0.11713	0.236104	16000
C:\Users\isaac\phlag\caster\data\ape.fa	144000	0.392898	1	0.095006	0.202962	16000
C:\Users\isaac\phlag\caster\data\ape.fa	148000	0.441034	0.51935	0.199978	0.295223	16000
C:\Users\isaac\phlag\caster\data\ape.fa	152000	0.487468	0.721849	0.116554	0.253136	16000
C:\Users\isaac\phlag\caster\data\ape.fa	156000	0.441319	0.696578	0.0751965	0.217528	16000
C:\Users\isaac\phlag\caster\data\ape.fa	160000	0.482686	0.441211	0.0966221	0.274352	16000
C:\Users\isaac\phlag\caster\data\ape.fa	164000	0.393324	0.461788	0.0946156	0.211663	16000
C:\Users\isaac\phlag\caster\data\ape.fa	168000	0.415686	0.875745	0	0.172806	16000
C:\Users\isaac\phlag\caster\data\ape.fa	172000	0.439854	0.746187	0.0957393	0.224517	16000
C:\Users\isaac\phlag\caster\data\ape.fa	176000	0.439322	0.587423	0.0753424	0.220875	16000
C:\Users\isaac\phlag\caster\data\ape.fa	180000	0.342597	0.517394	0.0520291	0.144464	16000
C:\Users\isaac\phlag\caster\data\ape.fa	184000	0.342296	0.458825	0.0942441	0.174969	16000
C:\Users\isaac\phlag\caster\data\ape.fa	188000	0.533393	0.705561	0.116218	0.271861	16000
C:\Users\isaac\phlag\caster\data\ape.fa	192000	0.391443	0.744929	0.0747831	0.195298	16000
C:\Users\isaac\phlag\caster\data\ape.fa	196000	0.440955	0.703099	0.158893	0.254204	16000
C:\Users\isaac\phlag\caster\data\ape.fa	200000	0.38907	0.187836	0.344232	0.489155	16000
C:\Users\isaac\phlag\caster\data\ape.fa	204000	0.173425	0.0549097	0.558147	0.59288	16000
C:\Users\isaac\phlag\caster\data\ape.fa	208000	0.390029	0.0465247	0.536083	0.736965	16000
