file	pos	c*ABBA	c*BABA	c*AABB	D*	QuartetCnt
C:\Users\isaac\phlag\caster\data\ape.fa	0	1.06259	0.820426	6.55077	0.0287138	200000
C:\Users\isaac\phlag\caster\data\ape.fa	100	1.06259	0.820426	6.60779	0.028521	200000
C:\Users\isaac\phlag\caster\data\ape.fa	200	1.0896	0.791698	6.60779	0.035092	200000
C:\Users\isaac\phlag\caster\data\ape.fa	300	1.0896	0.777068	6.58005	0.0370001	200000
C:\Users\isaac\phlag\caster\data\ape.fa	400	1.0896	0.777068	6.58005	0.0370001	200000
C:\Users\isaac\phlag\caster\data\ape.fa	500	1.0896	0.777068	6.58005	0.0370001	200000
C:\Users\isaac\phlag\caster\data\ape.fa	600	1.15439	0.777068	6.57954	0.0443337	200000
C:\Users\isaac\phlag\caster\data\ape.fa	700	1.15439	0.777068	6.45702	0.0449812	200000
C:\Users\isaac\phlag\caster\data\ape.fa	800	1.16677	0.690761	6.44063	0.0573632	200000
C:\Users\isaac\phlag\caster\data\ape.fa	900	1.16677	0.690761	6.38207	0.0577709	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1000	1.16677	0.690761	6.38207	0.0577709	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1100	1.19738	0.663983	6.38207	0.0647053	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1200	1.14325	0.609861	6.38465	0.0655455	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1300	1.11189	0.609861	6.47602	0.0612399	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1400	1.11189	0.609861	6.47602	0.0612399	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1500	1.09659	0.609861	6.51802	0.0591812	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1600	1.12666	0.609861	6.42826	0.0632964	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1700	1.12666	0.609861	6.33802	0.0640037	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1800	1.12666	0.609861	6.28058	0.0644623	200000
C:\Users\isaac\phlag\caster\data\ape.fa	1900	1.09798	0.609861	6.25127	0.0613285	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2000	1.09798	0.609861	6.27864	0.0611183	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2100	1.09798	0.609861	6.27564	0.0611413	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2200	1.09798	0.609861	6.21677	0.0615955	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2300	1.09798	0.633968	6.26498	0.0580239	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2400	1.09798	0.633968	6.3247	0.0575939	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2500	1.09798	0.647385	6.3247	0.0558356	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2600	1.12737	0.647385	6.26296	0.0597164	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2700	1.12737	0.647385	6.23307	0.0599393	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2800	1.12737	0.618165	6.23307	0.0638211	200000
C:\Users\isaac\phlag\caster\data\ape.fa	2900	1.12737	0.618165	6.23307	0.0638211	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3000	1.12737	0.586892	6.23307	0.0680072	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3100	1.12737	0.586832	6.14054	0.0688165	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3200	1.12737	0.586832	6.11185	0.0690689	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3300	1.18777	0.586832	6.02116	0.077085	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3400	1.18777	0.586832	6.02002	0.0770962	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3500	1.12977	0.586832	6.02002	0.0701779	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3600	1.0982	0.586832	6.02002	0.0663676	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3700	1.0982	0.525581	5.9894	0.0752139	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3800	1.0982	0.525581	5.9894	0.0752139	200000
C:\Users\isaac\phlag\caster\data\ape.fa	3900	1.0982	0.525581	5.9894	0.0752139	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4000	1.0982	0.525581	5.9894	0.0752139	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4100	1.0982	0.539796	5.98875	0.0732162	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4200	1.06685	0.539796	6.01919	0.0691142	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4300	1.06685	0.539796	5.89695	0.0702402	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4400	1.06685	0.539796	5.95846	0.0696691	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4500	1.08349	0.539796	5.94414	0.0718471	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4600	1.08349	0.539796	5.94309	0.0718571	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4700	1.08349	0.539796	6.00507	0.0712732	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4800	1.08349	0.539796	6.0832	0.0705507	200000
C:\Users\isaac\phlag\caster\data\ape.fa	4900	1.08349	0.539796	5.91504	0.0721244	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5000	1.08349	0.539796	5.85414	0.0727119	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5100	1.08349	0.539796	5.82402	0.0730059	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5200	1.08349	0.515032	5.82402	0.0765859	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5300	1.08349	0.501882	5.8577	0.0781413	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5400	1.08349	0.501882	5.88526	0.077853	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5500	1.08349	0.501882	5.82746	0.0784601	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5600	1.08349	0.501882	5.79501	0.0788051	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5700	1.08349	0.501882	5.81879	0.0785521	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5800	1.05368	0.501882	5.83986	0.074614	200000
C:\Users\isaac\phlag\caster\data\ape.fa	5900	1.05368	0.435657	5.83986	0.084324	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6000	1.02323	0.435657	5.89466	0.0799036	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6100	1.02323	0.435657	5.83275	0.0805821	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6200	1.02323	0.435657	5.83275	0.0805821	200000
C:\Users\isaac\phlag\caster\data\ape.fa	6300	1.02323	0.377562	5.83275	0.0892606	200000
