pos	avg*ABBA	avg*BABA	avg*AABB	sliding_D*	QuartetCnt
100000	0.109389	0.948815	1.22555	0.435901	1.582e+07
101000	0.109387	0.94561	1.22867	0.438096	1.578e+07
102000	0.109428	0.942293	1.23175	0.440371	1.574e+07
103000	0.10967	0.939561	1.23476	0.442562	1.57e+07
104000	0.109983	0.935534	1.23802	0.445453	1.566e+07
105000	0.110272	0.931978	1.24122	0.448098	1.562e+07
106000	0.110546	0.928467	1.24455	0.450743	1.558e+07
107000	0.110752	0.924746	1.2476	0.453347	1.554e+07
108000	0.110982	0.920072	1.25075	0.456425	1.55e+07
109000	0.111307	0.914077	1.25403	0.460221	1.546e+07
110000	0.111737	0.907006	1.25727	0.464599	1.542e+07
111000	0.112095	0.899336	1.26044	0.469179	1.538e+07
112000	0.112501	0.891502	1.26357	0.473886	1.534e+07
113000	0.112956	0.883215	1.26655	0.47883	1.53e+07
114000	0.113235	0.87459	1.26969	0.483827	1.526e+07
115000	0.113179	0.8667	1.27285	0.488193	1.522e+07
116000	0.11327	0.859084	1.27584	0.492545	1.518e+07
117000	0.11321	0.85196	1.27877	0.496528	1.514e+07
118000	0.113	0.845175	1.2817	0.500227	1.51e+07
119000	0.112667	0.839239	1.28496	0.50349	1.506e+07
120000	0.112372	0.833421	1.28843	0.506792	1.502e+07
121000	0.111772	0.827015	1.29193	0.510104	1.498e+07
122000	0.111219	0.82021	1.29538	0.513655	1.494e+07
123000	0.110882	0.812869	1.29861	0.51763	1.49e+07
124000	0.11061	0.8066	1.30217	0.521232	1.486e+07
125000	0.110621	0.8003	1.30574	0.525127	1.482e+07
126000	0.110707	0.794303	1.30931	0.528948	1.478e+07
127000	0.110443	0.787641	1.31278	0.532762	1.474e+07
128000	0.110126	0.781067	1.31643	0.536532	1.47e+07
129000	0.109709	0.774113	1.31999	0.540391	1.466e+07
130000	0.10943	0.766428	1.32345	0.544739	1.462e+07
131000	0.109268	0.758684	1.32676	0.549213	1.458e+07
132000	0.109135	0.750772	1.33003	0.553809	1.454e+07
133000	0.108907	0.744321	1.33322	0.55757	1.45e+07
134000	0.108651	0.736451	1.33651	0.562069	1.446e+07
135000	0.108284	0.727942	1.33982	0.566823	1.442e+07
136000	0.107966	0.718027	1.34293	0.572341	1.438e+07
137000	0.107826	0.708641	1.34588	0.577747	1.434e+07
138000	0.107951	0.698965	1.34891	0.583608	1.43e+07
139000	0.108242	0.687577	1.35254	0.590696	1.426e+07
140000	0.108455	0.676609	1.35585	0.597471	1.422e+07
141000	0.108536	0.666506	1.35884	0.603634	1.418e+07
142000	0.10865	0.656448	1.36195	0.609869	1.414e+07
143000	0.108833	0.64719	1.36481	0.615714	1.41e+07
144000	0.109002	0.638113	1.36796	0.621533	1.406e+07
145000	0.109215	0.628677	1.37109	0.627625	1.402e+07
146000	0.109492	0.619155	1.37441	0.633894	1.398e+07
147000	0.109517	0.610391	1.37744	0.639477	1.394e+07
148000	0.109562	0.601403	1.38057	0.645256	1.39e+07
149000	0.109612	0.594774	1.38397	0.649747	1.386e+07
150000	0.109667	0.588219	1.38774	0.654278	1.382e+07
151000	0.109665	0.580353	1.39168	0.659566	1.378e+07
152000	0.109693	0.572199	1.39539	0.665035	1.374e+07
153000	0.109808	0.564123	1.39906	0.670552	1.37e+07
154000	0.10981	0.555774	1.40317	0.676226	1.366e+07
155000	0.109699	0.54848	1.40719	0.681168	1.362e+07
156000	0.109642	0.542542	1.41105	0.685326	1.358e+07
157000	0.109665	0.536365	1.41462	0.689666	1.354e+07
158000	0.109716	0.530021	1.41838	0.694177	1.35e+07
159000	0.109763	0.523358	1.42252	0.69895	1.346e+07
160000	0.109818	0.516395	1.42669	0.703931	1.342e+07
161000	0.109973	0.50967	1.43082	0.708864	1.338e+07
162000	0.110069	0.501861	1.4349	0.714424	1.334e+07
163000	0.110228	0.494945	1.43912	0.71952	1.33e+07
164000	0.110471	0.486319	1.44363	0.725827	1.326e+07
165000	0.110563	0.476936	1.44813	0.732502	1.322e+07
166000	0.110832	0.46702	1.45284	0.73974	1.318e+07
167000	0.111008	0.456762	1.45744	0.747135	1.314e+07
168000	0.11111	0.446383	1.46196	0.754572	1.31e+07
169000	0.111205	0.435558	1.46677	0.762376	1.306e+07
170000	0.111312	0.424833	1.47162	0.770175	1.302e+07
171000	0.111328	0.415358	1.47633	0.77708	1.298e+07
172000	0.111471	0.406546	1.481	0.783684	1.294e+07
173000	0.111759	0.397836	1.48542	0.790348	1.29e+07
174000	0.112054	0.390534	1.49026	0.796128	1.286e+07
175000	0.112494	0.382474	1.49498	0.802561	1.282e+07
176000	0.112911	0.375331	1.49984	0.808371	1.278e+07
177000	0.113239	0.368791	1.50448	0.813674	1.274e+07
178000	0.113688	0.362397	1.50915	0.818993	1.27e+07
179000	0.114232	0.355753	1.51404	0.8246	1.266e+07
