pos	avg*ABBA	avg*BABA	avg*AABB	sliding_D*	QuartetCnt
0	0	0	0	0	2.65599e+19
1	0	0	0	0	9.98676e+18
2	0	0	0	0	3.39912e+19
3	0	0	0	0	3.74706e+19
4	0	0	0	0	4.2173e+19
5	0	0	0	0	3.47426e+19
6	0	0	0	0	4.21726e+19
7	0	0	0	0	3.47421e+19
8	0	0	0	0	4.21723e+19
9	0	0	0	0	2.92872e+19
10	0	0	0	0	3.39895e+19
11	0	0	0	0	2.92865e+19
12	0	0	0	0	3.39896e+19
13	0	0	0	0	2.92869e+19
14	0	0	0	0	3.39892e+19
15	0	0	0	0	2.92866e+19
16	0	0	0	0	3.39893e+19
17	0	0	0	0	2.92869e+19
18	0	0	0	0	3.39897e+19
19	0	0	0	0	2.92873e+19
20	0	0	0	0	3.39902e+19
21	0	0	0	0	2.92875e+19
22	0	0	0	0	3.39901e+19
23	0	0	0	0	2.92874e+19
24	0	0	0	0	3.39903e+19
25	0	0	0	0	2.92873e+19
26	0	0	0	0	3.399e+19
27	0	0	0	0	2.92874e+19
28	0	0	0	0	3.399e+19
29	0	0	0	0	2.92876e+19
30	0	0	0	0	3.39899e+19
31	0	0	0	0	2.92876e+19
32	0	0	0	0	3.39903e+19
33	0	0	0	0	2.92874e+19
34	0	0	0	0	3.39901e+19
35	0	0	0	0	2.92877e+19
36	0	0	0	0	3.39904e+19
37	0	0	0	0	2.92877e+19
38	0	0	0	0	3.39905e+19
39	0	0	0	0	2.92878e+19
40	0	0	0	0	3.39905e+19
41	0	0	0	0	2.92881e+19
42	0	0	0	0	3.39911e+19
43	0	0	0	0	2.92881e+19
44	0	0	0	0	3.39908e+19
45	0	0	0	0	2.92878e+19
46	0	0	0	0	3.39901e+19
47	0	0	0	0	2.92872e+19
48	0	0	0	0	3.39896e+19
49	0	0	0	0	2.92872e+19
50	0	0	0	0	3.39899e+19
51	0	0	0	0	2.92873e+19
52	0	0	0.0294606	0	3.39903e+19
53	0	0	0.0291481	0	2.92878e+19
54	0	0	0.0278638	0	3.39901e+19
55	0	0	0.0277223	0	2.92877e+19
56	0	0	0.0266248	0	3.399e+19
57	0	0	0.0261803	0	2.92874e+19
58	0	0	0.0246878	0	3.39897e+19
59	0	0	0.0241888	0	2.92871e+19
60	0	0	0.0244826	0	3.39901e+19
61	0	0	0.0229513	0	2.92871e+19
62	0	0	0.0217771	0	3.39894e+19
63	0	0	0.0210752	0	2.92866e+19
64	0	0	0.0196287	0	3.3989e+19
65	0	0	0.0196277	0	2.92866e+19
66	0	0	0.0196362	0	3.39896e+19
67	0	0	0.0194516	0	2.92873e+19
68	0	0	0.0189997	0	3.399e+19
69	0	0	0.0192027	0	2.92877e+19
70	0	0	0.0186619	0	3.39904e+19
71	0	0	0.0174125	0	2.92874e+19
72	0	0	0.0159249	0	3.39897e+19
73	0	0	0.0144191	0	2.92868e+19
74	0	0	0.0139597	0	3.39894e+19
75	0	0	0.0134013	0	2.92868e+19
76	0	0	0.0127321	0	3.39894e+19
77	0	0	0.0113744	0	2.92861e+19
78	0	0	0.00950148	0	3.39877e+19
79	0	0	0.0102575	0	2.92861e+19
80	0	0	0.0095736	0	3.39885e+19
81	0	0	0.00933671	0	2.92859e+19
82	0	0	0.00855559	0	3.39884e+19
83	0	0	0.00813796	0	2.92857e+19
84	0	0	0.00683355	0	3.39875e+19
85	0	0	0.00657413	0	2.92848e+19
86	0	0	0.00618742	0	3.39875e+19
87	0	0	0.0058007	0	2.92848e+19
88	0	0	0.00514067	0	3.39872e+19
89	0	0	0.00491371	0	2.92848e+19
90	0	0	0.00523983	0	3.39886e+19
91	0	0	0.00489266	0	2.92859e+19
92	0	0	0.00451194	0	3.39886e+19
93	0	0	0.00413016	0	2.92861e+19
94	0	0	0.00372454	0	3.39888e+19
95	0	0	0.00359445	0	2.92869e+19
96	0	0	0.00308096	0	3.39896e+19
97	0	0	0.00250931	0	2.92868e+19
98	0	0	0.00201226	0	3.39895e+19
99	0	0	0.00137524	0	2.92859e+19
100	0	0	0.000913162	0	3.39886e+19
101	0	0	0.00044181	0	2.92857e+19
102	0	0	0	0	3.39877e+19
103	0	0	0	0	2.92848e+19
104	0	0	0	0	3.39872e+19
105	0	0	0	0	2.92845e+19
106	0	0	0	0	3.39872e+19
107	0	0	0	0	2.92845e+19
108	0	0	0	0	3.39879e+19
109	0	0	0	0	2.92856e+19
110	0	0	0	0	3.39891e+19
111	0	0	0	0	2.92862e+19
112	0	0	0	0	3.39892e+19
113	0	0	0	0	2.92865e+19
114	0	0	0	0	3.39896e+19
115	0	0	0	0	2.92871e+19
116	0	0	0	0	3.39897e+19
117	0	-0.0320592	0	-1	2.92869e+19
118	0	-0.0318333	0	-1	3.39896e+19
119	0	-0.0311837	0	-1	2.92869e+19
120	0	-0.0305191	0	-1	3.399e+19
121	0	-0.0310702	0	-1	2.92872e+19
122	0	-0.0303947	0	-1	3.39899e+19
123	0	-0.0297193	0	-1	2.92872e+19
124	0	-0.0292526	0	-1	3.39899e+19
125	0	-0.0274737	0	-1	2.92875e+19
126	0	-0.0265118	0	-1	3.39903e+19
127	0	-0.0256886	0	-1	2.92875e+19
128	0	-0.0247937	0	-1	3.39905e+19
129	0	-0.0244041	0	-1	2.92875e+19
130	0	-0.0238967	0	-1	3.39901e+19
131	0	-0.0240293	0	-1	2.92871e+19
132	0	-0.0226394	0	-1	3.39898e+19
133	0	-0.0226944	0	-1	2.92871e+19
134	0	-0.0220269	0	-1	3.39898e+19
135	0	-0.0215171	0	-1	2.92868e+19
136	0	-0.0212393	0	-1	3.39892e+19
137	0	-0.0204268	0	-1	2.92868e+19
138	0	-0.0195758	0	-1	3.39896e+19
139	0	-0.0188274	0	-1	2.92868e+19
140	0	-0.0180785	0	-1	3.39894e+19
141	0	-0.0172639	0	-1	2.92868e+19
142	0	-0.0165999	0	-1	3.39895e+19
143	0	-0.0158632	0	-1	2.92868e+19
144	0	-0.0152022	0	-1	3.39894e+19
145	0	-0.0140415	0	-1	2.92864e+19
146	0	-0.0134032	0	-1	3.39891e+19
147	0	-0.0126764	0	-1	2.92868e+19
148	0	-0.0127013	0	-1	3.39891e+19
149	0	-0.0118974	0	-1	2.92868e+19
150	0	-0.0110634	0	-1	3.39898e+19
151	0	-0.00999498	0	-1	2.92875e+19
152	0	-0.0090193	0	-1	3.39902e+19
153	0	-0.00846606	0	-1	2.92874e+19
154	0	-0.00755117	0	-1	3.39897e+19
155	0	-0.0067471	0	-1	2.9287e+19
156	0	-0.00618484	0	-1	3.39897e+19
157	0	-0.00562258	0	-1	2.9287e+19
158	0	-0.00497507	0	-1	3.39896e+19
159	0	-0.00457809	0	-1	2.92873e+19
160	0	-0.00392059	0	-1	3.39897e+19
161	0	-0.00339824	0	-1	2.9287e+19
162	0	-0.0027215	0	-1	3.39893e+19
163	0	-0.00224376	0	-1	2.9287e+19
164	0	-0.00168282	0	-1	3.39897e+19
165	0	-0.00116377	0	-1	2.92874e+19
166	0	-0.000576971	0	-1	3.399e+19
167	0	0	0	0	2.92875e+19
168	0	0	0	0	3.39902e+19
169	0	0	0	0	2.92872e+19
170	0	0	0	0	3.39903e+19
171	0	0	0	0	2.92877e+19
172	0	0	0	0	3.39904e+19
173	0	0	0	0	2.92879e+19
174	0	0	0	0	3.39902e+19
175	0	0	0	0	2.92872e+19
176	0	0	0	0	3.39899e+19
177	0	0	0	0	2.92871e+19
178	0	0	0	0	3.39897e+19
179	0	0	0	0	2.9287e+19
180	0	0	0	0	3.39898e+19
181	0	0	0	0	2.92871e+19
182	0	0	0	0	3.39901e+19
183	0	0	0	0	2.92871e+19
184	0	0	0	0	3.39901e+19
185	0	0	0	0	2.92875e+19
186	0	0	0	0	3.39905e+19
187	0	0	0	0	2.92874e+19
188	0	0	0	0	3.399e+19
189	0	0	0	0	2.92877e+19
190	0	0	0	0	3.39904e+19
191	0	0	0	0	2.92877e+19
192	0	0	0	0	3.399e+19
193	0	0	0	0	2.92877e+19
194	0	0	0	0	3.39908e+19
195	0	0	0	0	2.92883e+19
196	0	0	0	0	3.39908e+19
197	0	0	0	0	2.92881e+19
198	0	0	0	0	3.39912e+19
199	0	0	0	0	2.92885e+19
200	0	0	0	0	3.39912e+19
201	0	0	0	0	2.92883e+19
202	0	0	0	0	3.3991e+19
203	0	0	0	0	2.92883e+19
204	0	0	0	0	3.3991e+19
205	0	0	0	0	2.9288e+19
206	0	0	0	0	3.39907e+19
207	0	0	0	0	2.9288e+19
208	0	0	0	0	3.3991e+19
209	0	0	0	0	2.9288e+19
210	0	0	0	0	3.39906e+19
211	0	0	0	0	2.92877e+19
212	0	0	0	0	3.39904e+19
213	0	0	0	0	2.92876e+19
214	0	0	0	0	3.39903e+19
215	0	0	0	0	2.92876e+19
216	0	0	0	0	3.39902e+19
217	0	0	0	0	2.92874e+19
218	0	0	0	0	3.39902e+19
219	0	0	0	0	2.92871e+19
220	0	0	0	0	3.39898e+19
221	0	0	0	0	2.92875e+19
222	0	0	0	0	3.39902e+19
223	0	0	0	0	2.92872e+19
224	0	0	0	0	3.39902e+19
225	0	0	0	0	2.92875e+19
226	0	0	0	0	3.39903e+19
227	0	0	0	0	2.92876e+19
228	0	0	0	0	3.39902e+19
229	0	0	0	0	2.92872e+19
230	0	0	0	0	3.39895e+19
231	0	0	0	0	2.92868e+19
232	0	0	0	0	3.39899e+19
233	0	0	0	0	2.92872e+19
234	0	0	0	0	3.399e+19
235	0	0	0	0	2.92873e+19
236	0	0	0	0	3.399e+19
237	0	0	0	0	2.92874e+19
238	0	0	0	0	3.399e+19
239	0	0	0	0	2.9287e+19
240	0	0	0	0	3.39897e+19
241	0	0	0	0	2.9287e+19
242	0	0	0	0	3.399e+19
243	0	0	0	0	2.92874e+19
244	0	0	0	0	3.39903e+19
245	0	0	0	0	2.92877e+19
246	0	0	0	0	3.39903e+19
247	0	0	0	0	2.92876e+19
248	0	0	0	0	3.39899e+19
249	0	0	0	0	2.92872e+19
250	0	0	0	0	3.39899e+19
251	0	0	0	0	2.92872e+19
252	0	0	0	0	3.399e+19
253	0	0	0	0	2.92874e+19
254	0	0	0	0	3.39904e+19
255	0	0	0	0	2.92878e+19
256	0	0	0	0	3.39905e+19
257	0	0	0	0	2.92878e+19
258	0	0	0	0	3.39905e+19
259	0	0	0	0	2.92878e+19
260	0	0	0	0	3.39905e+19
261	0	0	0	0	2.92878e+19
262	0	0	0	0	3.39905e+19
263	0	0	0	0	2.92881e+19
264	0	0	0	0	3.39906e+19
265	0	0	0	0	2.9288e+19
266	0	0	0	0	3.39903e+19
267	0	0	0	0	2.92876e+19
268	0	0	0	0	3.399e+19
269	0	0	0	0	2.92874e+19
270	0	0	0	0	3.39901e+19
271	0	0	0	0	2.92874e+19
272	0	0	0	0	3.39897e+19
273	0	0	0	0	2.92874e+19
274	0	0	0	0	3.399e+19
275	0	0	0	0	2.92874e+19
276	0	0	0	0	3.39901e+19
277	0	0	0	0	2.92878e+19
278	0	0	0	0	3.39908e+19
279	0	0	0	0	2.92881e+19
280	0	0	0	0	3.39908e+19
281	0	0	0	0	2.92878e+19
282	0	0	0	0	3.39906e+19
283	0	0	0	0	2.92879e+19
284	0	0	0	0	3.39906e+19
285	0	0	0	0	2.92875e+19
286	0	0	0	0	3.39903e+19
287	0	0	0	0	2.92876e+19
288	0	0	0	0	3.39903e+19
289	0	0	0	0	2.92872e+19
290	0	0	0	0	3.39896e+19
291	0	0	0	0	2.92872e+19
292	0	0	0	0	3.39899e+19
293	0	0	0	0	2.92872e+19
294	0	0	0	0	3.39899e+19
295	0	0	0	0	2.9287e+19
296	0	0	0	0	3.399e+19
297	0	0	0	0	2.92872e+19
298	0	0	0	0	3.39897e+19
299	0	0	0	0	2.92871e+19
300	0	0	0	0	3.39901e+19
301	0	0	0	0	2.92874e+19
302	0	0	0	0	3.399e+19
303	0	0	0	0	2.92874e+19
304	0	0	0	0	3.39898e+19
305	0	0	0	0	2.92871e+19
306	0	0	0	0	3.399e+19
307	0	0	0	0	2.92872e+19
308	0	0	0	0	3.39896e+19
309	0	0	0	0	2.92866e+19
310	0	0	0	0	3.39897e+19
311	0	0	0	0	2.92868e+19
312	0	0	0	0	3.39899e+19
313	0	0	0	0	2.9287e+19
314	0	0	0	0	3.39899e+19
315	0	0	0	0	2.92872e+19
316	0	-0.016454	0	-1	3.39899e+19
317	0	-0.0160983	0	-1	2.92873e+19
318	0	-0.0153151	0	-1	3.39902e+19
319	0	-0.0155294	0	-1	2.92873e+19
320	0	-0.0154705	0.0555502	0.385994	3.399e+19
321	0	-0.0151342	0.0544392	0.385046	2.92873e+19
322	0	-0.0142511	0.0533282	0.364692	3.399e+19
323	0	-0.0144551	0.0521939	0.383031	2.92873e+19
324	0	-0.0142892	0.0510267	0.388954	3.399e+19
325	0	-0.0136735	0.106859	0.146735	2.92872e+19
326	0	-0.013108	0.10637	0.140551	3.39902e+19
327	0	-0.0128508	0.104656	0.139979	2.92875e+19
328	0	-0.0125213	0.102356	0.139381	3.39902e+19
329	0	-0.0117602	0.104115	0.127337	2.92879e+19
330	0	-0.0114424	0.101722	0.126744	3.39906e+19
331	0	-0.0111245	0.0993283	0.126123	2.92879e+19
332	0	-0.0108067	0.0969348	0.125472	3.39906e+19
333	0	-0.0101909	0.0940226	0.121564	2.92879e+19
334	0	-0.00988209	0.0916423	0.120867	3.39906e+19
335	0	-0.00957327	0.089262	0.120133	2.92879e+19
336	0	-0.0092594	0.0864112	0.120015	3.39905e+19
337	0	-0.00900691	0.0866314	0.116032	2.92882e+19
338	0	-0.00848823	0.0831932	0.113623	3.39905e+19
339	0	-0.00804963	0.079811	0.112172	2.92876e+19
340	0	-0.00791718	0.0785924	0.112022	3.39906e+19
341	0	-0.0075082	0.0738368	0.113197	2.92875e+19
342	0	-0.00720788	0.0714927	0.112124	3.39902e+19
343	0	-0.00690755	0.0691487	0.11098	2.92875e+19
344	0	-0.00680455	0.0647597	0.117411	3.39902e+19
345	0	-0.00674855	0.0628505	0.120291	2.92875e+19
346	0	-0.0063737	0.0629292	0.112698	3.39905e+19
347	0	-0.0062024	0.0589721	0.117537	2.92876e+19
348	0	-0.00570922	0.0568135	0.111717	3.39903e+19
349	0	-0.00555969	0.0544465	0.113726	2.92876e+19
350	0	-0.00528426	0.0494482	0.119651	3.39899e+19
351	0	-0.0049709	0.0474118	0.117125	2.92872e+19
352	0	-0.00463951	0.0452066	0.114366	3.39899e+19
353	0	-0.00429346	0.0428551	0.11134	2.92872e+19
354	0	-0.00390908	0.0401023	0.108006	3.39898e+19
355	0	-0.00349265	0.0381763	0.1007	2.92872e+19
356	0	-0.00319742	0.0362474	0.096745	3.39899e+19
357	0	-0.00287768	0.0340506	0.0923134	2.92872e+19
358	0	-0.00257421	0.0318538	0.0879182	3.39899e+19
359	0	-0.0023201	0.0295828	0.0851015	2.92872e+19
360	0	-0.00209753	0.0258079	0.0884645	3.39896e+19
361	0	-0.00175712	0.023868	0.0794686	2.92869e+19
362	0	-0.0014057	0.0217925	0.0689512	3.39896e+19
363	0	-0.00102805	0.0209685	0.051556	2.92873e+19
364	0	-0.000685368	0.0187613	0.037916	3.399e+19
365	0	-0.000351641	0.0163482	0.0219822	2.92873e+19
366	0	0	0.0140279	0	3.39898e+19
367	0	0	0.0110677	0	2.92868e+19
368	0	0	0.00837132	0	3.39888e+19
369	0	0	0.00637785	0	2.9286e+19
370	0	0	0.00457262	0	3.39888e+19
371	0	0	0.00367502	0	2.92861e+19
372	0	0	0.00269592	0	3.39884e+19
373	0	0	0.00183751	0	2.92861e+19
374	0	0	0.000895472	0	3.39885e+19
375	0	0	0	0	2.92851e+19
376	0	0	0	0	3.39889e+19
377	0	0	0	0	2.92868e+19
378	0	0	0	0	3.39891e+19
379	0	0	0	0	2.92859e+19
380	0	0	0	0	3.39887e+19
381	0	0	0	0	2.92857e+19
382	0	0	0	0	3.39884e+19
383	0	0	0	0	2.9286e+19
384	0	0	0	0	3.39891e+19
385	0	0	0	0	2.92864e+19
386	0	0	0	0	3.39887e+19
387	0	0	0	0	2.92855e+19
388	0	0	0	0	3.39882e+19
389	0	0	0	0	2.92853e+19
390	0	0	0	0	3.39883e+19
391	0	0	0	0	2.92856e+19
392	0	0	0	0	3.39881e+19
393	0	0	0	0	2.92858e+19
394	0	0	0	0	3.39888e+19
395	0	0	0	0	2.92865e+19
396	0	0	0	0	3.39888e+19
397	0	0	0	0	2.92862e+19
